train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/200, train: loss=0.0510, val: psnr=32.9489, 2.4m 2.4m/7.8h
epoch 2/200, train: loss=0.0289, val: psnr=34.0881, 2.4m 4.7m/7.9h
epoch 3/200, train: loss=0.0259, val: psnr=35.1500, 2.4m 7.1m/7.9h
epoch 4/200, train: loss=0.0245, val: psnr=35.5466, 2.4m 9.4m/7.9h
epoch 5/200, train: loss=0.0244, val: psnr=34.9183, 2.4m 11.8m/7.9h
epoch 6/200, train: loss=0.0237, val: psnr=35.5242, 2.4m 14.1m/7.9h
epoch 7/200, train: loss=0.0239, val: psnr=35.8934, 2.4m 16.5m/7.9h
epoch 8/200, train: loss=0.0235, val: psnr=35.6723, 2.3m 18.8m/7.8h
epoch 9/200, train: loss=0.0233, val: psnr=36.1635, 2.3m 21.2m/7.8h
epoch 10/200, train: loss=0.0228, val: psnr=36.1828, 2.4m 23.5m/7.8h
epoch 11/200, train: loss=0.0229, val: psnr=36.1864, 2.3m 25.9m/7.8h
epoch 12/200, train: loss=0.0231, val: psnr=35.9977, 2.3m 28.2m/7.8h
epoch 13/200, train: loss=0.0228, val: psnr=36.1899, 2.4m 30.6m/7.8h
epoch 14/200, train: loss=0.0225, val: psnr=35.9772, 2.3m 32.9m/7.8h
epoch 15/200, train: loss=0.0228, val: psnr=36.0676, 2.3m 35.2m/7.8h
epoch 16/200, train: loss=0.0225, val: psnr=36.3993, 2.4m 37.6m/7.8h
epoch 17/200, train: loss=0.0226, val: psnr=36.4426, 2.3m 40.0m/7.8h
epoch 18/200, train: loss=0.0224, val: psnr=36.3015, 2.3m 42.3m/7.8h
epoch 19/200, train: loss=0.0228, val: psnr=36.1358, 2.3m 44.6m/7.8h
epoch 20/200, train: loss=0.0224, val: psnr=36.1906, 2.3m 47.0m/7.8h
epoch 21/200, train: loss=0.0220, val: psnr=36.4293, 2.3m 49.3m/7.8h
epoch 22/200, train: loss=0.0220, val: psnr=36.4410, 2.3m 51.7m/7.8h
epoch 23/200, train: loss=0.0221, val: psnr=36.2153, 2.4m 54.0m/7.8h
epoch 24/200, train: loss=0.0221, val: psnr=36.4890, 2.4m 56.4m/7.8h
epoch 25/200, train: loss=0.0222, val: psnr=36.2782, 2.4m 58.7m/7.8h
epoch 26/200, train: loss=0.0219, val: psnr=36.3842, 2.3m 1.0h/7.8h
epoch 27/200, train: loss=0.0221, val: psnr=36.5394, 2.3m 1.1h/7.8h
epoch 28/200, train: loss=0.0218, val: psnr=36.9503, 2.3m 1.1h/7.8h
epoch 29/200, train: loss=0.0219, val: psnr=36.8272, 2.3m 1.1h/7.8h
epoch 30/200, train: loss=0.0217, val: psnr=36.7876, 2.3m 1.2h/7.8h
epoch 31/200, train: loss=0.0218, val: psnr=36.9187, 2.3m 1.2h/7.8h
epoch 32/200, train: loss=0.0217, val: psnr=36.9237, 2.3m 1.3h/7.8h
epoch 33/200, train: loss=0.0215, val: psnr=36.8502, 2.3m 1.3h/7.8h
epoch 34/200, train: loss=0.0217, val: psnr=36.7274, 2.3m 1.3h/7.8h
epoch 35/200, train: loss=0.0215, val: psnr=36.7389, 2.3m 1.4h/7.8h
epoch 36/200, train: loss=0.0217, val: psnr=37.0348, 2.3m 1.4h/7.8h
epoch 37/200, train: loss=0.0217, val: psnr=36.8568, 2.3m 1.4h/7.8h
epoch 38/200, train: loss=0.0215, val: psnr=36.9385, 2.3m 1.5h/7.8h
epoch 39/200, train: loss=0.0214, val: psnr=36.6939, 2.3m 1.5h/7.8h
epoch 40/200, train: loss=0.0216, val: psnr=36.6538, 2.4m 1.6h/7.8h
epoch 41/200, train: loss=0.0213, val: psnr=37.1105, 2.3m 1.6h/7.8h
epoch 42/200, train: loss=0.0214, val: psnr=36.9729, 2.3m 1.6h/7.8h
epoch 43/200, train: loss=0.0213, val: psnr=37.0300, 2.3m 1.7h/7.8h
epoch 44/200, train: loss=0.0209, val: psnr=36.8707, 2.3m 1.7h/7.8h
epoch 45/200, train: loss=0.0212, val: psnr=37.1778, 2.3m 1.8h/7.8h
epoch 46/200, train: loss=0.0214, val: psnr=37.2825, 2.3m 1.8h/7.8h
epoch 47/200, train: loss=0.0211, val: psnr=37.0249, 2.3m 1.8h/7.8h
epoch 48/200, train: loss=0.0213, val: psnr=37.1507, 2.3m 1.9h/7.8h
epoch 49/200, train: loss=0.0212, val: psnr=36.9227, 2.4m 1.9h/7.8h
epoch 50/200, train: loss=0.0213, val: psnr=36.9144, 2.4m 2.0h/7.8h
epoch 51/200, train: loss=0.0212, val: psnr=36.9712, 2.4m 2.0h/7.8h
epoch 52/200, train: loss=0.0212, val: psnr=37.2897, 2.3m 2.0h/7.8h
epoch 53/200, train: loss=0.0213, val: psnr=36.9530, 2.3m 2.1h/7.8h
epoch 54/200, train: loss=0.0212, val: psnr=37.1152, 2.3m 2.1h/7.8h
epoch 55/200, train: loss=0.0212, val: psnr=37.2104, 2.4m 2.1h/7.8h
epoch 56/200, train: loss=0.0211, val: psnr=36.9836, 3.4m 2.2h/7.9h
epoch 57/200, train: loss=0.0213, val: psnr=37.0914, 2.6m 2.2h/7.9h
epoch 58/200, train: loss=0.0212, val: psnr=37.2885, 2.4m 2.3h/7.9h
epoch 59/200, train: loss=0.0212, val: psnr=36.9513, 2.4m 2.3h/7.9h
epoch 60/200, train: loss=0.0210, val: psnr=36.7622, 2.5m 2.4h/7.9h
epoch 61/200, train: loss=0.0211, val: psnr=37.0601, 2.5m 2.4h/7.9h
epoch 62/200, train: loss=0.0209, val: psnr=37.1892, 2.6m 2.5h/7.9h
epoch 63/200, train: loss=0.0210, val: psnr=37.0966, 2.4m 2.5h/7.9h
epoch 64/200, train: loss=0.0212, val: psnr=37.2073, 2.5m 2.5h/7.9h
epoch 65/200, train: loss=0.0211, val: psnr=37.1463, 2.6m 2.6h/7.9h
epoch 66/200, train: loss=0.0211, val: psnr=37.1222, 2.4m 2.6h/7.9h
epoch 67/200, train: loss=0.0211, val: psnr=37.1560, 2.5m 2.7h/7.9h
epoch 68/200, train: loss=0.0214, val: psnr=37.2198, 2.4m 2.7h/7.9h
epoch 69/200, train: loss=0.0210, val: psnr=37.1438, 2.6m 2.7h/8.0h
epoch 70/200, train: loss=0.0209, val: psnr=37.2269, 2.4m 2.8h/8.0h
epoch 71/200, train: loss=0.0211, val: psnr=36.9873, 2.6m 2.8h/8.0h
epoch 72/200, train: loss=0.0209, val: psnr=37.2922, 2.5m 2.9h/8.0h
epoch 73/200, train: loss=0.0212, val: psnr=37.2123, 2.4m 2.9h/8.0h
epoch 74/200, train: loss=0.0212, val: psnr=37.0955, 2.4m 2.9h/8.0h
epoch 75/200, train: loss=0.0214, val: psnr=36.9006, 2.4m 3.0h/8.0h
epoch 76/200, train: loss=0.0212, val: psnr=37.0337, 2.5m 3.0h/8.0h
epoch 77/200, train: loss=0.0209, val: psnr=37.1810, 2.3m 3.1h/8.0h
epoch 78/200, train: loss=0.0210, val: psnr=37.1521, 2.4m 3.1h/8.0h
epoch 79/200, train: loss=0.0210, val: psnr=37.0998, 2.3m 3.1h/8.0h
epoch 80/200, train: loss=0.0211, val: psnr=37.2980, 2.4m 3.2h/8.0h
epoch 81/200, train: loss=0.0211, val: psnr=37.2974, 2.3m 3.2h/8.0h
epoch 82/200, train: loss=0.0209, val: psnr=37.0260, 2.3m 3.3h/8.0h
epoch 83/200, train: loss=0.0207, val: psnr=37.1923, 2.3m 3.3h/8.0h
epoch 84/200, train: loss=0.0210, val: psnr=37.3436, 2.3m 3.3h/8.0h
epoch 85/200, train: loss=0.0210, val: psnr=37.1561, 2.4m 3.4h/8.0h
epoch 86/200, train: loss=0.0208, val: psnr=37.3395, 2.4m 3.4h/8.0h
epoch 87/200, train: loss=0.0209, val: psnr=37.1130, 2.4m 3.5h/8.0h
epoch 88/200, train: loss=0.0207, val: psnr=37.2369, 2.4m 3.5h/8.0h
epoch 89/200, train: loss=0.0210, val: psnr=37.2779, 2.4m 3.5h/8.0h
epoch 90/200, train: loss=0.0210, val: psnr=37.4917, 2.4m 3.6h/8.0h
epoch 91/200, train: loss=0.0210, val: psnr=37.4024, 2.4m 3.6h/8.0h
epoch 92/200, train: loss=0.0209, val: psnr=37.3123, 2.3m 3.7h/7.9h
epoch 93/200, train: loss=0.0209, val: psnr=37.3992, 2.4m 3.7h/7.9h
epoch 94/200, train: loss=0.0211, val: psnr=37.1024, 2.4m 3.7h/7.9h
epoch 95/200, train: loss=0.0208, val: psnr=37.2357, 2.4m 3.8h/7.9h
epoch 96/200, train: loss=0.0209, val: psnr=37.1107, 2.3m 3.8h/7.9h
epoch 97/200, train: loss=0.0210, val: psnr=37.3892, 2.4m 3.9h/7.9h
epoch 98/200, train: loss=0.0209, val: psnr=37.2827, 2.4m 3.9h/7.9h
epoch 99/200, train: loss=0.0209, val: psnr=37.3027, 2.4m 3.9h/7.9h
epoch 100/200, train: loss=0.0210, val: psnr=37.3457, 2.4m 4.0h/7.9h
epoch 101/200, train: loss=0.0210, val: psnr=37.2316, 2.4m 4.0h/7.9h
epoch 102/200, train: loss=0.0207, val: psnr=37.3881, 2.4m 4.0h/7.9h
epoch 103/200, train: loss=0.0208, val: psnr=37.3797, 2.4m 4.1h/7.9h
epoch 104/200, train: loss=0.0207, val: psnr=37.1552, 2.4m 4.1h/7.9h
epoch 105/200, train: loss=0.0210, val: psnr=37.1128, 2.3m 4.2h/7.9h
epoch 106/200, train: loss=0.0210, val: psnr=37.5314, 2.4m 4.2h/7.9h
epoch 107/200, train: loss=0.0210, val: psnr=37.1248, 2.4m 4.2h/7.9h
epoch 108/200, train: loss=0.0210, val: psnr=37.3700, 2.3m 4.3h/7.9h
epoch 109/200, train: loss=0.0209, val: psnr=37.2732, 2.4m 4.3h/7.9h
epoch 110/200, train: loss=0.0208, val: psnr=37.3000, 2.4m 4.4h/7.9h
epoch 111/200, train: loss=0.0207, val: psnr=37.3149, 2.4m 4.4h/7.9h
epoch 112/200, train: loss=0.0207, val: psnr=37.5003, 2.4m 4.4h/7.9h
epoch 113/200, train: loss=0.0208, val: psnr=37.1574, 2.4m 4.5h/7.9h
