train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/200, train: loss=0.0442, val: psnr=33.9192, 2.4m 2.4m/7.9h
epoch 2/200, train: loss=0.0270, val: psnr=35.4569, 2.4m 4.7m/7.9h
epoch 3/200, train: loss=0.0244, val: psnr=35.8338, 2.4m 7.1m/7.9h
epoch 4/200, train: loss=0.0239, val: psnr=35.9091, 2.4m 9.5m/7.9h
epoch 5/200, train: loss=0.0236, val: psnr=35.7795, 2.4m 11.8m/7.9h
epoch 6/200, train: loss=0.0235, val: psnr=35.9385, 2.4m 14.2m/7.9h
epoch 7/200, train: loss=0.0229, val: psnr=35.9821, 2.4m 16.6m/7.9h
epoch 8/200, train: loss=0.0232, val: psnr=36.1183, 2.4m 19.0m/7.9h
epoch 9/200, train: loss=0.0228, val: psnr=35.8783, 2.4m 21.3m/7.9h
epoch 10/200, train: loss=0.0230, val: psnr=36.1717, 2.4m 23.7m/7.9h
epoch 11/200, train: loss=0.0228, val: psnr=36.4994, 2.4m 26.1m/7.9h
epoch 12/200, train: loss=0.0224, val: psnr=36.5326, 2.4m 28.4m/7.9h
epoch 13/200, train: loss=0.0220, val: psnr=36.5082, 2.4m 30.8m/7.9h
epoch 14/200, train: loss=0.0221, val: psnr=36.8252, 2.4m 33.2m/7.9h
epoch 15/200, train: loss=0.0220, val: psnr=36.6269, 2.4m 35.6m/7.9h
epoch 16/200, train: loss=0.0222, val: psnr=36.6648, 2.4m 38.0m/7.9h
epoch 17/200, train: loss=0.0220, val: psnr=36.6435, 2.4m 40.3m/7.9h
epoch 18/200, train: loss=0.0218, val: psnr=36.8189, 2.4m 42.7m/7.9h
epoch 19/200, train: loss=0.0220, val: psnr=36.5427, 2.4m 45.1m/7.9h
epoch 20/200, train: loss=0.0218, val: psnr=36.5003, 2.4m 47.4m/7.9h
epoch 21/200, train: loss=0.0219, val: psnr=36.7723, 2.4m 49.8m/7.9h
epoch 22/200, train: loss=0.0218, val: psnr=36.6070, 2.4m 52.2m/7.9h
epoch 23/200, train: loss=0.0220, val: psnr=37.2548, 2.4m 54.6m/7.9h
epoch 24/200, train: loss=0.0218, val: psnr=36.8788, 2.4m 56.9m/7.9h
epoch 25/200, train: loss=0.0217, val: psnr=37.1539, 2.4m 59.3m/7.9h
epoch 26/200, train: loss=0.0220, val: psnr=36.5879, 2.4m 1.0h/7.9h
epoch 27/200, train: loss=0.0217, val: psnr=36.8574, 2.4m 1.1h/7.9h
epoch 28/200, train: loss=0.0216, val: psnr=37.0277, 2.4m 1.1h/7.9h
epoch 29/200, train: loss=0.0212, val: psnr=37.1354, 2.4m 1.1h/7.9h
epoch 30/200, train: loss=0.0212, val: psnr=36.7814, 2.4m 1.2h/7.9h
epoch 31/200, train: loss=0.0221, val: psnr=36.3071, 2.4m 1.2h/7.9h
epoch 32/200, train: loss=0.0218, val: psnr=37.2234, 2.4m 1.3h/7.9h
epoch 33/200, train: loss=0.0214, val: psnr=37.0809, 2.3m 1.3h/7.9h
epoch 34/200, train: loss=0.0215, val: psnr=37.1938, 2.4m 1.3h/7.9h
epoch 35/200, train: loss=0.0212, val: psnr=36.9268, 2.4m 1.4h/7.9h
epoch 36/200, train: loss=0.0214, val: psnr=37.1819, 2.4m 1.4h/7.9h
epoch 37/200, train: loss=0.0217, val: psnr=37.1369, 2.4m 1.5h/7.9h
epoch 38/200, train: loss=0.0216, val: psnr=36.3034, 2.4m 1.5h/7.9h
epoch 39/200, train: loss=0.0216, val: psnr=37.2397, 2.4m 1.5h/7.9h
epoch 40/200, train: loss=0.0211, val: psnr=36.8972, 2.4m 1.6h/7.9h
epoch 41/200, train: loss=0.0211, val: psnr=36.7740, 2.4m 1.6h/7.9h
epoch 42/200, train: loss=0.0212, val: psnr=37.2466, 2.3m 1.7h/7.9h
epoch 43/200, train: loss=0.0211, val: psnr=37.2509, 2.4m 1.7h/7.9h
epoch 44/200, train: loss=0.0209, val: psnr=37.1376, 2.4m 1.7h/7.9h
epoch 45/200, train: loss=0.0210, val: psnr=37.1975, 2.4m 1.8h/7.9h
epoch 46/200, train: loss=0.0212, val: psnr=37.3167, 2.4m 1.8h/7.9h
epoch 47/200, train: loss=0.0211, val: psnr=36.9406, 2.3m 1.9h/7.9h
epoch 48/200, train: loss=0.0212, val: psnr=37.3654, 2.3m 1.9h/7.9h
epoch 49/200, train: loss=0.0212, val: psnr=37.0946, 2.3m 1.9h/7.9h
epoch 50/200, train: loss=0.0212, val: psnr=37.0909, 2.3m 2.0h/7.9h
epoch 51/200, train: loss=0.0209, val: psnr=37.0439, 2.3m 2.0h/7.9h
epoch 52/200, train: loss=0.0209, val: psnr=36.9689, 2.3m 2.0h/7.9h
epoch 53/200, train: loss=0.0211, val: psnr=37.0968, 2.3m 2.1h/7.9h
epoch 54/200, train: loss=0.0211, val: psnr=37.0237, 2.3m 2.1h/7.9h
epoch 55/200, train: loss=0.0211, val: psnr=37.2836, 2.3m 2.2h/7.9h
epoch 56/200, train: loss=0.0211, val: psnr=37.0697, 2.3m 2.2h/7.9h
epoch 57/200, train: loss=0.0211, val: psnr=37.2206, 2.3m 2.2h/7.9h
epoch 58/200, train: loss=0.0210, val: psnr=37.1740, 2.3m 2.3h/7.9h
epoch 59/200, train: loss=0.0212, val: psnr=37.2809, 2.3m 2.3h/7.9h
epoch 60/200, train: loss=0.0210, val: psnr=37.3197, 2.3m 2.4h/7.9h
epoch 61/200, train: loss=0.0209, val: psnr=37.1562, 2.3m 2.4h/7.9h
epoch 62/200, train: loss=0.0210, val: psnr=37.2623, 2.3m 2.4h/7.9h
epoch 63/200, train: loss=0.0209, val: psnr=37.1899, 2.3m 2.5h/7.9h
