train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.3M
epoch 1/120, train: loss=0.0497, val: psnr=32.9880, 2.4m 2.4m/4.7h
epoch 2/120, train: loss=0.0302, val: psnr=34.4728, 2.4m 4.8m/4.8h
epoch 3/120, train: loss=0.0254, val: psnr=34.9207, 2.3m 7.1m/4.7h
epoch 4/120, train: loss=0.0254, val: psnr=35.4438, 2.3m 9.4m/4.7h
epoch 5/120, train: loss=0.0242, val: psnr=35.6227, 2.4m 11.8m/4.7h
epoch 6/120, train: loss=0.0238, val: psnr=35.7768, 2.3m 14.1m/4.7h
epoch 7/120, train: loss=0.0235, val: psnr=35.7515, 2.3m 16.5m/4.7h
epoch 8/120, train: loss=0.0235, val: psnr=34.8718, 2.3m 18.8m/4.7h
epoch 9/120, train: loss=0.0245, val: psnr=35.9062, 2.3m 21.1m/4.7h
epoch 10/120, train: loss=0.0231, val: psnr=35.8366, 2.3m 23.5m/4.7h
epoch 11/120, train: loss=0.0230, val: psnr=35.8910, 2.4m 25.8m/4.7h
epoch 12/120, train: loss=0.0230, val: psnr=35.4835, 2.3m 28.2m/4.7h
epoch 13/120, train: loss=0.0230, val: psnr=36.1493, 2.4m 30.5m/4.7h
epoch 14/120, train: loss=0.0228, val: psnr=36.1134, 2.3m 32.9m/4.7h
epoch 15/120, train: loss=0.0228, val: psnr=36.3482, 2.4m 35.2m/4.7h
epoch 16/120, train: loss=0.0225, val: psnr=36.1870, 2.4m 37.6m/4.7h
epoch 17/120, train: loss=0.0224, val: psnr=36.5658, 2.3m 39.9m/4.7h
epoch 18/120, train: loss=0.0225, val: psnr=36.0863, 2.3m 42.2m/4.7h
epoch 19/120, train: loss=0.0226, val: psnr=36.3340, 2.4m 44.6m/4.7h
epoch 20/120, train: loss=0.0223, val: psnr=36.4602, 2.4m 46.9m/4.7h
epoch 21/120, train: loss=0.0218, val: psnr=36.9609, 2.4m 49.3m/4.7h
epoch 22/120, train: loss=0.0219, val: psnr=36.6246, 2.4m 51.7m/4.7h
epoch 23/120, train: loss=0.0217, val: psnr=36.6509, 2.4m 54.0m/4.7h
epoch 24/120, train: loss=0.0217, val: psnr=36.7079, 2.3m 56.4m/4.7h
epoch 25/120, train: loss=0.0215, val: psnr=36.7846, 2.4m 58.7m/4.7h
epoch 26/120, train: loss=0.0217, val: psnr=36.3328, 2.3m 1.0h/4.7h
epoch 27/120, train: loss=0.0221, val: psnr=36.8803, 2.3m 1.1h/4.7h
epoch 28/120, train: loss=0.0216, val: psnr=36.9301, 2.3m 1.1h/4.7h
epoch 29/120, train: loss=0.0216, val: psnr=36.8352, 2.3m 1.1h/4.7h
epoch 30/120, train: loss=0.0216, val: psnr=36.7967, 2.3m 1.2h/4.7h
epoch 31/120, train: loss=0.0217, val: psnr=36.9880, 2.3m 1.2h/4.7h
epoch 32/120, train: loss=0.0218, val: psnr=36.8900, 2.3m 1.3h/4.7h
epoch 33/120, train: loss=0.0216, val: psnr=37.0536, 2.4m 1.3h/4.7h
epoch 34/120, train: loss=0.0215, val: psnr=37.0177, 2.3m 1.3h/4.7h
epoch 35/120, train: loss=0.0213, val: psnr=36.8760, 2.3m 1.4h/4.7h
epoch 36/120, train: loss=0.0213, val: psnr=36.9439, 2.3m 1.4h/4.7h
epoch 37/120, train: loss=0.0216, val: psnr=36.8378, 2.3m 1.4h/4.7h
epoch 38/120, train: loss=0.0213, val: psnr=37.1970, 2.4m 1.5h/4.7h
epoch 39/120, train: loss=0.0214, val: psnr=36.9982, 2.3m 1.5h/4.7h
epoch 40/120, train: loss=0.0216, val: psnr=37.0605, 2.4m 1.6h/4.7h
epoch 41/120, train: loss=0.0211, val: psnr=37.0020, 2.4m 1.6h/4.7h
