train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=1.6M
epoch 1/200, train: loss=0.0483, val: psnr=33.1015, 1.9m 1.9m/6.3h
epoch 2/200, train: loss=0.0277, val: psnr=35.0340, 2.0m 3.9m/6.5h
epoch 3/200, train: loss=0.0248, val: psnr=34.7306, 3.0m 6.9m/7.7h
epoch 4/200, train: loss=0.0239, val: psnr=35.6327, 2.5m 9.4m/7.8h
epoch 5/200, train: loss=0.0241, val: psnr=35.4689, 2.0m 11.4m/7.6h
epoch 6/200, train: loss=0.0238, val: psnr=35.7006, 2.4m 13.8m/7.7h
epoch 7/200, train: loss=0.0235, val: psnr=35.9231, 2.0m 15.9m/7.6h
epoch 8/200, train: loss=0.0233, val: psnr=35.1681, 2.1m 17.9m/7.5h
epoch 9/200, train: loss=0.0231, val: psnr=35.9202, 2.0m 19.9m/7.4h
epoch 10/200, train: loss=0.0232, val: psnr=36.1347, 2.0m 21.9m/7.3h
epoch 11/200, train: loss=0.0232, val: psnr=35.9184, 2.0m 23.8m/7.2h
epoch 12/200, train: loss=0.0231, val: psnr=35.7040, 1.9m 25.8m/7.2h
epoch 13/200, train: loss=0.0228, val: psnr=36.1133, 1.9m 27.7m/7.1h
epoch 14/200, train: loss=0.0231, val: psnr=35.6402, 1.9m 29.6m/7.1h
epoch 15/200, train: loss=0.0228, val: psnr=36.3158, 1.9m 31.6m/7.0h
epoch 16/200, train: loss=0.0226, val: psnr=36.1893, 1.9m 33.5m/7.0h
epoch 17/200, train: loss=0.0227, val: psnr=35.9499, 1.9m 35.5m/7.0h
epoch 18/200, train: loss=0.0226, val: psnr=36.3972, 1.9m 37.4m/6.9h
epoch 19/200, train: loss=0.0224, val: psnr=36.2634, 1.9m 39.4m/6.9h
