train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=351.1K
epoch 1/200, train: loss=0.0844, val: psnr=30.2634, 2.1m 2.1m/6.9h
epoch 2/200, train: loss=0.0327, val: psnr=33.1622, 1.2m 3.3m/5.5h
epoch 3/200, train: loss=0.0290, val: psnr=34.1482, 1.2m 4.5m/5.0h
epoch 4/200, train: loss=0.0277, val: psnr=34.5363, 1.2m 5.7m/4.8h
epoch 5/200, train: loss=0.0267, val: psnr=34.5363, 1.2m 6.9m/4.6h
epoch 6/200, train: loss=0.0267, val: psnr=34.7585, 1.2m 8.2m/4.5h
epoch 7/200, train: loss=0.0260, val: psnr=34.8992, 1.2m 9.4m/4.5h
epoch 8/200, train: loss=0.0252, val: psnr=34.9373, 1.2m 10.6m/4.4h
epoch 9/200, train: loss=0.0253, val: psnr=35.3026, 1.2m 11.8m/4.4h
epoch 10/200, train: loss=0.0252, val: psnr=35.0259, 1.2m 13.0m/4.3h
epoch 11/200, train: loss=0.0253, val: psnr=35.2786, 1.2m 14.2m/4.3h
epoch 12/200, train: loss=0.0250, val: psnr=35.3608, 1.2m 15.5m/4.3h
epoch 13/200, train: loss=0.0247, val: psnr=35.1929, 1.2m 16.7m/4.3h
epoch 14/200, train: loss=0.0245, val: psnr=35.2930, 1.2m 17.9m/4.3h
epoch 15/200, train: loss=0.0247, val: psnr=35.2763, 1.2m 19.2m/4.3h
epoch 16/200, train: loss=0.0246, val: psnr=35.6671, 1.2m 20.4m/4.3h
epoch 17/200, train: loss=0.0241, val: psnr=35.6008, 1.2m 21.6m/4.2h
epoch 18/200, train: loss=0.0241, val: psnr=35.5183, 1.2m 22.9m/4.2h
epoch 19/200, train: loss=0.0244, val: psnr=34.8673, 1.2m 24.1m/4.2h
epoch 20/200, train: loss=0.0244, val: psnr=35.2305, 1.2m 25.4m/4.2h
epoch 21/200, train: loss=0.0236, val: psnr=35.4717, 1.2m 26.6m/4.2h
epoch 22/200, train: loss=0.0240, val: psnr=35.8403, 1.2m 27.9m/4.2h
epoch 23/200, train: loss=0.0236, val: psnr=35.5626, 1.2m 29.1m/4.2h
epoch 24/200, train: loss=0.0238, val: psnr=35.3745, 1.2m 30.3m/4.2h
epoch 25/200, train: loss=0.0240, val: psnr=35.1888, 1.2m 31.6m/4.2h
epoch 26/200, train: loss=0.0236, val: psnr=35.5271, 1.2m 32.8m/4.2h
epoch 27/200, train: loss=0.0237, val: psnr=34.8141, 1.2m 34.1m/4.2h
epoch 28/200, train: loss=0.0237, val: psnr=35.5948, 1.2m 35.3m/4.2h
epoch 29/200, train: loss=0.0236, val: psnr=35.6933, 1.2m 36.6m/4.2h
epoch 30/200, train: loss=0.0238, val: psnr=35.7434, 1.2m 37.8m/4.2h
epoch 31/200, train: loss=0.0236, val: psnr=35.6235, 1.2m 39.1m/4.2h
epoch 32/200, train: loss=0.0234, val: psnr=35.8449, 1.2m 40.3m/4.2h
epoch 33/200, train: loss=0.0234, val: psnr=35.9054, 1.2m 41.6m/4.2h
epoch 34/200, train: loss=0.0236, val: psnr=36.1502, 1.2m 42.8m/4.2h
epoch 35/200, train: loss=0.0240, val: psnr=35.9960, 1.2m 44.0m/4.2h
epoch 36/200, train: loss=0.0238, val: psnr=35.7456, 1.2m 45.3m/4.2h
epoch 37/200, train: loss=0.0234, val: psnr=35.7066, 1.2m 46.5m/4.2h
epoch 38/200, train: loss=0.0233, val: psnr=35.5384, 1.2m 47.8m/4.2h
epoch 39/200, train: loss=0.0234, val: psnr=35.7545, 1.2m 49.0m/4.2h
epoch 40/200, train: loss=0.0233, val: psnr=35.6238, 1.2m 50.2m/4.2h
epoch 41/200, train: loss=0.0232, val: psnr=36.0297, 1.2m 51.5m/4.2h
epoch 42/200, train: loss=0.0231, val: psnr=36.0640, 1.2m 52.7m/4.2h
epoch 43/200, train: loss=0.0231, val: psnr=36.1010, 1.2m 54.0m/4.2h
epoch 44/200, train: loss=0.0230, val: psnr=35.6975, 1.2m 55.2m/4.2h
epoch 45/200, train: loss=0.0228, val: psnr=35.8766, 1.2m 56.4m/4.2h
epoch 46/200, train: loss=0.0232, val: psnr=36.0896, 1.2m 57.7m/4.2h
epoch 47/200, train: loss=0.0231, val: psnr=36.2961, 1.2m 58.9m/4.2h
epoch 48/200, train: loss=0.0230, val: psnr=35.9461, 1.2m 1.0h/4.2h
epoch 49/200, train: loss=0.0232, val: psnr=36.1739, 1.2m 1.0h/4.2h
epoch 50/200, train: loss=0.0226, val: psnr=36.2074, 1.2m 1.0h/4.2h
epoch 51/200, train: loss=0.0230, val: psnr=35.8150, 1.2m 1.1h/4.2h
epoch 52/200, train: loss=0.0231, val: psnr=36.0633, 1.2m 1.1h/4.2h
epoch 53/200, train: loss=0.0231, val: psnr=35.9109, 1.2m 1.1h/4.2h
epoch 54/200, train: loss=0.0228, val: psnr=35.8666, 1.2m 1.1h/4.2h
epoch 55/200, train: loss=0.0229, val: psnr=36.2852, 1.2m 1.1h/4.2h
epoch 56/200, train: loss=0.0226, val: psnr=36.2630, 1.2m 1.2h/4.2h
epoch 57/200, train: loss=0.0231, val: psnr=36.0114, 1.2m 1.2h/4.2h
epoch 58/200, train: loss=0.0229, val: psnr=36.3909, 1.2m 1.2h/4.2h
epoch 59/200, train: loss=0.0230, val: psnr=36.0019, 1.2m 1.2h/4.2h
epoch 60/200, train: loss=0.0226, val: psnr=36.1917, 1.2m 1.2h/4.2h
epoch 61/200, train: loss=0.0229, val: psnr=36.2308, 1.2m 1.3h/4.2h
epoch 62/200, train: loss=0.0227, val: psnr=36.0775, 1.2m 1.3h/4.2h
epoch 63/200, train: loss=0.0227, val: psnr=36.1375, 1.2m 1.3h/4.2h
epoch 64/200, train: loss=0.0225, val: psnr=35.8661, 1.2m 1.3h/4.1h
epoch 65/200, train: loss=0.0228, val: psnr=35.8605, 1.2m 1.3h/4.1h
epoch 66/200, train: loss=0.0229, val: psnr=36.0052, 1.2m 1.4h/4.1h
epoch 67/200, train: loss=0.0227, val: psnr=36.0788, 1.2m 1.4h/4.1h
epoch 68/200, train: loss=0.0227, val: psnr=36.2064, 1.2m 1.4h/4.1h
epoch 69/200, train: loss=0.0227, val: psnr=36.2210, 1.2m 1.4h/4.1h
epoch 70/200, train: loss=0.0225, val: psnr=36.1761, 1.2m 1.4h/4.1h
epoch 71/200, train: loss=0.0225, val: psnr=36.3953, 1.2m 1.5h/4.1h
epoch 72/200, train: loss=0.0227, val: psnr=36.4635, 1.2m 1.5h/4.1h
