train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=383.9K
epoch 1/200, train: loss=0.0705, val: psnr=30.9262, 1.4m 1.4m/4.6h
epoch 2/200, train: loss=0.0312, val: psnr=33.8899, 1.5m 2.9m/4.8h
epoch 3/200, train: loss=0.0271, val: psnr=35.1522, 1.6m 4.4m/4.9h
epoch 4/200, train: loss=0.0258, val: psnr=35.0846, 4.2m 8.6m/7.1h
epoch 5/200, train: loss=0.0250, val: psnr=35.4822, 1.7m 10.3m/6.9h
epoch 6/200, train: loss=0.0247, val: psnr=35.7088, 1.5m 11.8m/6.5h
epoch 7/200, train: loss=0.0237, val: psnr=35.8877, 1.5m 13.3m/6.3h
epoch 8/200, train: loss=0.0235, val: psnr=35.9221, 1.5m 14.8m/6.1h
epoch 9/200, train: loss=0.0233, val: psnr=35.8969, 1.5m 16.3m/6.0h
epoch 10/200, train: loss=0.0234, val: psnr=35.8893, 4.0m 20.3m/6.8h
epoch 11/200, train: loss=0.0233, val: psnr=35.7681, 1.7m 22.0m/6.7h
epoch 12/200, train: loss=0.0234, val: psnr=35.7495, 2.2m 24.2m/6.7h
epoch 13/200, train: loss=0.0231, val: psnr=36.0288, 1.5m 25.7m/6.6h
epoch 14/200, train: loss=0.0231, val: psnr=35.8846, 1.4m 27.2m/6.5h
epoch 15/200, train: loss=0.0231, val: psnr=35.9679, 1.5m 28.6m/6.4h
epoch 16/200, train: loss=0.0232, val: psnr=35.9764, 1.5m 30.1m/6.3h
epoch 17/200, train: loss=0.0233, val: psnr=35.6403, 1.4m 31.5m/6.2h
epoch 18/200, train: loss=0.0231, val: psnr=36.0913, 2.7m 34.2m/6.3h
epoch 19/200, train: loss=0.0230, val: psnr=36.1003, 1.7m 35.9m/6.3h
epoch 20/200, train: loss=0.0230, val: psnr=35.6680, 1.5m 37.4m/6.2h
