train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=681.1K
epoch 1/200, train: loss=0.0519, val: psnr=33.5056, 1.6m 1.6m/5.5h
epoch 2/200, train: loss=0.0278, val: psnr=35.3704, 1.5m 3.1m/5.2h
epoch 3/200, train: loss=0.0247, val: psnr=35.6507, 1.5m 4.7m/5.2h
epoch 4/200, train: loss=0.0239, val: psnr=35.7097, 1.6m 6.2m/5.2h
epoch 5/200, train: loss=0.0237, val: psnr=35.8371, 1.6m 7.8m/5.2h
epoch 6/200, train: loss=0.0239, val: psnr=35.6775, 1.7m 9.5m/5.3h
epoch 7/200, train: loss=0.0235, val: psnr=35.7465, 1.8m 11.2m/5.3h
epoch 8/200, train: loss=0.0232, val: psnr=35.9726, 1.8m 13.1m/5.4h
epoch 9/200, train: loss=0.0230, val: psnr=35.7766, 1.9m 15.0m/5.6h
epoch 10/200, train: loss=0.0237, val: psnr=36.0017, 1.9m 16.9m/5.6h
epoch 11/200, train: loss=0.0231, val: psnr=35.8986, 1.9m 18.8m/5.7h
epoch 12/200, train: loss=0.0234, val: psnr=35.8991, 1.8m 20.7m/5.7h
epoch 13/200, train: loss=0.0228, val: psnr=35.7226, 1.7m 22.4m/5.8h
epoch 14/200, train: loss=0.0226, val: psnr=35.8059, 1.7m 24.1m/5.7h
epoch 15/200, train: loss=0.0228, val: psnr=36.1213, 1.6m 25.7m/5.7h
epoch 16/200, train: loss=0.0226, val: psnr=36.1287, 1.6m 27.2m/5.7h
epoch 17/200, train: loss=0.0227, val: psnr=36.0452, 1.5m 28.7m/5.6h
epoch 18/200, train: loss=0.0228, val: psnr=35.9059, 1.5m 30.2m/5.6h
epoch 19/200, train: loss=0.0225, val: psnr=36.1869, 1.6m 31.8m/5.6h
epoch 20/200, train: loss=0.0227, val: psnr=36.2394, 1.6m 33.4m/5.6h
epoch 21/200, train: loss=0.0223, val: psnr=36.4795, 1.6m 35.0m/5.5h
epoch 22/200, train: loss=0.0224, val: psnr=35.9466, 1.7m 36.7m/5.6h
epoch 23/200, train: loss=0.0223, val: psnr=36.2671, 1.8m 38.5m/5.6h
epoch 24/200, train: loss=0.0225, val: psnr=35.9512, 1.9m 40.4m/5.6h
epoch 25/200, train: loss=0.0224, val: psnr=36.5796, 2.0m 42.4m/5.6h
epoch 26/200, train: loss=0.0220, val: psnr=36.0574, 1.9m 44.3m/5.7h
epoch 27/200, train: loss=0.0221, val: psnr=36.6048, 1.9m 46.1m/5.7h
epoch 28/200, train: loss=0.0220, val: psnr=36.3707, 1.8m 47.9m/5.7h
epoch 29/200, train: loss=0.0221, val: psnr=36.4505, 1.7m 49.7m/5.7h
epoch 30/200, train: loss=0.0218, val: psnr=36.4848, 1.6m 51.3m/5.7h
epoch 31/200, train: loss=0.0222, val: psnr=36.6249, 1.6m 52.9m/5.7h
epoch 32/200, train: loss=0.0219, val: psnr=36.5108, 1.6m 54.4m/5.7h
epoch 33/200, train: loss=0.0222, val: psnr=36.4374, 1.5m 55.9m/5.6h
epoch 34/200, train: loss=0.0221, val: psnr=36.7353, 1.5m 57.4m/5.6h
epoch 35/200, train: loss=0.0219, val: psnr=36.7499, 1.6m 59.0m/5.6h
epoch 36/200, train: loss=0.0219, val: psnr=36.7067, 1.5m 1.0h/5.6h
epoch 37/200, train: loss=0.0217, val: psnr=36.5613, 1.7m 1.0h/5.6h
epoch 38/200, train: loss=0.0216, val: psnr=36.3717, 1.7m 1.1h/5.6h
epoch 39/200, train: loss=0.0218, val: psnr=36.9526, 1.8m 1.1h/5.6h
epoch 40/200, train: loss=0.0219, val: psnr=36.8822, 1.9m 1.1h/5.6h
epoch 41/200, train: loss=0.0215, val: psnr=36.5211, 1.9m 1.2h/5.7h
epoch 42/200, train: loss=0.0215, val: psnr=36.7350, 1.9m 1.2h/5.7h
epoch 43/200, train: loss=0.0214, val: psnr=36.7642, 1.9m 1.2h/5.7h
epoch 44/200, train: loss=0.0213, val: psnr=36.9406, 1.8m 1.3h/5.7h
epoch 45/200, train: loss=0.0215, val: psnr=36.8355, 1.7m 1.3h/5.7h
epoch 46/200, train: loss=0.0215, val: psnr=36.8504, 1.6m 1.3h/5.7h
epoch 47/200, train: loss=0.0214, val: psnr=36.9083, 1.5m 1.3h/5.7h
epoch 48/200, train: loss=0.0215, val: psnr=36.9373, 1.5m 1.4h/5.7h
epoch 49/200, train: loss=0.0214, val: psnr=36.8167, 1.5m 1.4h/5.6h
epoch 50/200, train: loss=0.0213, val: psnr=36.9076, 1.5m 1.4h/5.6h
epoch 51/200, train: loss=0.0215, val: psnr=36.8985, 1.6m 1.4h/5.6h
epoch 52/200, train: loss=0.0214, val: psnr=36.6335, 1.6m 1.5h/5.6h
epoch 53/200, train: loss=0.0216, val: psnr=36.8591, 1.7m 1.5h/5.6h
epoch 54/200, train: loss=0.0215, val: psnr=37.0212, 1.8m 1.5h/5.6h
epoch 55/200, train: loss=0.0213, val: psnr=36.8657, 1.9m 1.6h/5.6h
epoch 56/200, train: loss=0.0213, val: psnr=36.9729, 2.0m 1.6h/5.7h
epoch 57/200, train: loss=0.0216, val: psnr=36.7730, 1.9m 1.6h/5.7h
epoch 58/200, train: loss=0.0215, val: psnr=37.1298, 1.9m 1.6h/5.7h
epoch 59/200, train: loss=0.0214, val: psnr=36.9251, 1.9m 1.7h/5.7h
epoch 60/200, train: loss=0.0216, val: psnr=37.1032, 1.8m 1.7h/5.7h
epoch 61/200, train: loss=0.0212, val: psnr=37.0854, 1.7m 1.7h/5.7h
epoch 62/200, train: loss=0.0212, val: psnr=37.0301, 1.6m 1.8h/5.7h
epoch 63/200, train: loss=0.0214, val: psnr=36.9211, 1.5m 1.8h/5.7h
epoch 64/200, train: loss=0.0213, val: psnr=37.1329, 1.5m 1.8h/5.7h
epoch 65/200, train: loss=0.0211, val: psnr=36.7845, 1.5m 1.8h/5.7h
epoch 66/200, train: loss=0.0214, val: psnr=37.0492, 1.5m 1.9h/5.6h
epoch 67/200, train: loss=0.0211, val: psnr=37.0785, 1.6m 1.9h/5.6h
epoch 68/200, train: loss=0.0212, val: psnr=37.0407, 1.6m 1.9h/5.6h
epoch 69/200, train: loss=0.0214, val: psnr=36.7171, 1.7m 1.9h/5.6h
epoch 70/200, train: loss=0.0212, val: psnr=37.0032, 1.8m 2.0h/5.6h
epoch 71/200, train: loss=0.0212, val: psnr=37.1562, 1.9m 2.0h/5.7h
epoch 72/200, train: loss=0.0213, val: psnr=37.0549, 2.0m 2.0h/5.7h
epoch 73/200, train: loss=0.0213, val: psnr=36.9868, 1.9m 2.1h/5.7h
epoch 74/200, train: loss=0.0212, val: psnr=36.8818, 1.9m 2.1h/5.7h
epoch 75/200, train: loss=0.0212, val: psnr=37.0205, 1.8m 2.1h/5.7h
epoch 76/200, train: loss=0.0211, val: psnr=36.8905, 1.7m 2.2h/5.7h
epoch 77/200, train: loss=0.0210, val: psnr=37.1053, 1.6m 2.2h/5.7h
epoch 78/200, train: loss=0.0214, val: psnr=36.8493, 1.6m 2.2h/5.7h
epoch 79/200, train: loss=0.0210, val: psnr=36.9742, 1.5m 2.2h/5.7h
epoch 80/200, train: loss=0.0212, val: psnr=37.2276, 1.5m 2.3h/5.7h
epoch 81/200, train: loss=0.0210, val: psnr=36.9454, 1.5m 2.3h/5.7h
epoch 82/200, train: loss=0.0210, val: psnr=36.9634, 1.6m 2.3h/5.7h
epoch 83/200, train: loss=0.0211, val: psnr=37.1028, 1.6m 2.3h/5.6h
epoch 84/200, train: loss=0.0210, val: psnr=37.1058, 1.7m 2.4h/5.6h
epoch 85/200, train: loss=0.0212, val: psnr=37.1915, 1.8m 2.4h/5.7h
epoch 86/200, train: loss=0.0211, val: psnr=37.0326, 1.8m 2.4h/5.7h
epoch 87/200, train: loss=0.0209, val: psnr=37.0384, 2.0m 2.5h/5.7h
epoch 88/200, train: loss=0.0209, val: psnr=37.2475, 1.9m 2.5h/5.7h
epoch 89/200, train: loss=0.0208, val: psnr=37.2689, 1.9m 2.5h/5.7h
epoch 90/200, train: loss=0.0210, val: psnr=37.1892, 1.8m 2.6h/5.7h
epoch 91/200, train: loss=0.0213, val: psnr=37.1368, 1.8m 2.6h/5.7h
epoch 92/200, train: loss=0.0210, val: psnr=37.1413, 1.7m 2.6h/5.7h
epoch 93/200, train: loss=0.0211, val: psnr=37.0692, 1.6m 2.6h/5.7h
epoch 94/200, train: loss=0.0213, val: psnr=36.8953, 1.5m 2.7h/5.7h
epoch 95/200, train: loss=0.0211, val: psnr=37.3646, 1.5m 2.7h/5.7h
epoch 96/200, train: loss=0.0210, val: psnr=37.2127, 1.5m 2.7h/5.7h
epoch 97/200, train: loss=0.0212, val: psnr=36.9561, 1.5m 2.7h/5.7h
epoch 98/200, train: loss=0.0210, val: psnr=37.0968, 1.6m 2.8h/5.7h
epoch 99/200, train: loss=0.0212, val: psnr=37.2845, 1.6m 2.8h/5.6h
epoch 100/200, train: loss=0.0209, val: psnr=36.8875, 1.8m 2.8h/5.7h
epoch 101/200, train: loss=0.0211, val: psnr=37.0418, 1.8m 2.9h/5.7h
epoch 102/200, train: loss=0.0208, val: psnr=37.1097, 1.9m 2.9h/5.7h
epoch 103/200, train: loss=0.0210, val: psnr=37.1324, 1.9m 2.9h/5.7h
epoch 104/200, train: loss=0.0212, val: psnr=36.8246, 1.9m 3.0h/5.7h
epoch 105/200, train: loss=0.0211, val: psnr=36.9565, 1.8m 3.0h/5.7h
