train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=976.5K
epoch 1/200, train: loss=0.0520, val: psnr=32.1617, 1.3m 1.3m/4.3h
epoch 2/200, train: loss=0.0287, val: psnr=34.6294, 1.2m 2.5m/4.2h
epoch 3/200, train: loss=0.0252, val: psnr=35.5689, 1.2m 3.8m/4.2h
epoch 4/200, train: loss=0.0246, val: psnr=35.3778, 1.3m 5.0m/4.2h
epoch 5/200, train: loss=0.0237, val: psnr=35.8619, 1.2m 6.3m/4.2h
epoch 6/200, train: loss=0.0234, val: psnr=35.4439, 1.2m 7.5m/4.2h
epoch 7/200, train: loss=0.0234, val: psnr=35.5196, 1.2m 8.7m/4.1h
epoch 8/200, train: loss=0.0232, val: psnr=35.4936, 1.2m 9.9m/4.1h
epoch 9/200, train: loss=0.0238, val: psnr=35.7657, 1.2m 11.1m/4.1h
epoch 10/200, train: loss=0.0234, val: psnr=35.7943, 1.2m 12.3m/4.1h
epoch 11/200, train: loss=0.0226, val: psnr=35.8788, 1.2m 13.5m/4.1h
epoch 12/200, train: loss=0.0231, val: psnr=35.7898, 1.2m 14.7m/4.1h
epoch 13/200, train: loss=0.0229, val: psnr=35.9792, 1.2m 15.9m/4.1h
epoch 14/200, train: loss=0.0226, val: psnr=36.1236, 1.2m 17.1m/4.1h
epoch 15/200, train: loss=0.0225, val: psnr=36.0348, 1.2m 18.3m/4.1h
epoch 16/200, train: loss=0.0226, val: psnr=36.3236, 1.2m 19.5m/4.1h
epoch 17/200, train: loss=0.0225, val: psnr=36.4296, 1.2m 20.7m/4.0h
epoch 18/200, train: loss=0.0223, val: psnr=36.5902, 1.2m 21.9m/4.1h
epoch 19/200, train: loss=0.0222, val: psnr=36.2668, 1.2m 23.1m/4.1h
epoch 20/200, train: loss=0.0228, val: psnr=36.3789, 1.4m 24.5m/4.1h
epoch 21/200, train: loss=0.0223, val: psnr=36.5352, 1.7m 26.1m/4.2h
epoch 22/200, train: loss=0.0224, val: psnr=36.1138, 1.7m 27.8m/4.2h
epoch 23/200, train: loss=0.0223, val: psnr=36.4637, 1.7m 29.5m/4.3h
epoch 24/200, train: loss=0.0224, val: psnr=36.5470, 1.7m 31.3m/4.3h
epoch 25/200, train: loss=0.0221, val: psnr=36.4208, 1.8m 33.0m/4.4h
epoch 26/200, train: loss=0.0220, val: psnr=36.6494, 1.8m 34.9m/4.5h
epoch 27/200, train: loss=0.0223, val: psnr=36.5824, 1.9m 36.8m/4.5h
epoch 28/200, train: loss=0.0222, val: psnr=35.8756, 2.0m 38.8m/4.6h
epoch 29/200, train: loss=0.0220, val: psnr=36.5175, 2.0m 40.8m/4.7h
epoch 30/200, train: loss=0.0221, val: psnr=36.4782, 2.0m 42.8m/4.8h
epoch 31/200, train: loss=0.0218, val: psnr=36.7587, 1.9m 44.7m/4.8h
epoch 32/200, train: loss=0.0216, val: psnr=36.4768, 1.8m 46.5m/4.8h
epoch 33/200, train: loss=0.0218, val: psnr=36.7572, 1.7m 48.3m/4.9h
epoch 34/200, train: loss=0.0218, val: psnr=36.9124, 1.7m 50.0m/4.9h
epoch 35/200, train: loss=0.0218, val: psnr=36.6376, 1.7m 51.7m/4.9h
epoch 36/200, train: loss=0.0218, val: psnr=36.6710, 1.7m 53.4m/4.9h
epoch 37/200, train: loss=0.0219, val: psnr=36.8429, 1.7m 55.0m/5.0h
epoch 38/200, train: loss=0.0218, val: psnr=36.9201, 1.7m 56.7m/5.0h
epoch 39/200, train: loss=0.0216, val: psnr=36.6326, 1.7m 58.5m/5.0h
epoch 40/200, train: loss=0.0215, val: psnr=37.2127, 1.8m 1.0h/5.0h
epoch 41/200, train: loss=0.0214, val: psnr=36.8592, 1.9m 1.0h/5.1h
epoch 42/200, train: loss=0.0212, val: psnr=36.8807, 2.0m 1.1h/5.1h
epoch 43/200, train: loss=0.0212, val: psnr=36.8553, 2.1m 1.1h/5.1h
epoch 44/200, train: loss=0.0215, val: psnr=37.0216, 2.0m 1.1h/5.2h
epoch 45/200, train: loss=0.0214, val: psnr=36.9310, 1.9m 1.2h/5.2h
epoch 46/200, train: loss=0.0214, val: psnr=36.9505, 1.9m 1.2h/5.2h
epoch 47/200, train: loss=0.0212, val: psnr=36.9608, 1.8m 1.2h/5.2h
epoch 48/200, train: loss=0.0213, val: psnr=37.1537, 1.7m 1.3h/5.2h
epoch 49/200, train: loss=0.0212, val: psnr=36.9923, 1.7m 1.3h/5.3h
epoch 50/200, train: loss=0.0213, val: psnr=36.9492, 1.7m 1.3h/5.3h
epoch 51/200, train: loss=0.0213, val: psnr=37.0925, 1.7m 1.3h/5.3h
epoch 52/200, train: loss=0.0213, val: psnr=37.0232, 1.7m 1.4h/5.3h
epoch 53/200, train: loss=0.0209, val: psnr=37.0451, 1.7m 1.4h/5.3h
epoch 54/200, train: loss=0.0215, val: psnr=37.0050, 1.8m 1.4h/5.3h
epoch 55/200, train: loss=0.0213, val: psnr=37.0814, 1.8m 1.5h/5.3h
epoch 56/200, train: loss=0.0210, val: psnr=37.0880, 1.9m 1.5h/5.3h
epoch 57/200, train: loss=0.0212, val: psnr=36.9944, 2.0m 1.5h/5.3h
epoch 58/200, train: loss=0.0214, val: psnr=36.8566, 2.0m 1.6h/5.4h
epoch 59/200, train: loss=0.0213, val: psnr=36.9467, 2.0m 1.6h/5.4h
epoch 60/200, train: loss=0.0209, val: psnr=37.0068, 1.9m 1.6h/5.4h
epoch 61/200, train: loss=0.0214, val: psnr=37.1307, 1.8m 1.7h/5.4h
epoch 62/200, train: loss=0.0212, val: psnr=37.0755, 1.8m 1.7h/5.4h
epoch 63/200, train: loss=0.0212, val: psnr=37.1631, 1.7m 1.7h/5.4h
epoch 64/200, train: loss=0.0210, val: psnr=37.1903, 1.7m 1.7h/5.4h
