train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=300.7K
epoch 1/200, train: loss=0.0810, val: psnr=29.2228, 38.5s 38.5s/2.1h
epoch 2/200, train: loss=0.0381, val: psnr=31.9784, 35.6s 1.2m/2.1h
epoch 3/200, train: loss=0.0328, val: psnr=32.7463, 35.8s 1.8m/2.0h
epoch 4/200, train: loss=0.0303, val: psnr=33.6293, 37.1s 2.5m/2.0h
epoch 5/200, train: loss=0.0294, val: psnr=34.1501, 48.8s 3.3m/2.2h
epoch 6/200, train: loss=0.0277, val: psnr=34.2236, 52.7s 4.1m/2.3h
epoch 7/200, train: loss=0.0264, val: psnr=35.1932, 52.5s 5.0m/2.4h
epoch 8/200, train: loss=0.0256, val: psnr=35.1648, 50.8s 5.9m/2.4h
epoch 9/200, train: loss=0.0256, val: psnr=35.3875, 47.1s 6.6m/2.5h
epoch 10/200, train: loss=0.0246, val: psnr=34.9328, 41.8s 7.3m/2.4h
epoch 11/200, train: loss=0.0242, val: psnr=35.1152, 42.0s 8.0m/2.4h
epoch 12/200, train: loss=0.0244, val: psnr=35.1141, 40.6s 8.7m/2.4h
epoch 13/200, train: loss=0.0244, val: psnr=35.6849, 47.5s 9.5m/2.4h
epoch 14/200, train: loss=0.0246, val: psnr=35.3259, 52.0s 10.4m/2.5h
epoch 15/200, train: loss=0.0239, val: psnr=35.5866, 52.5s 11.3m/2.5h
epoch 16/200, train: loss=0.0242, val: psnr=34.6924, 50.6s 12.1m/2.5h
epoch 17/200, train: loss=0.0236, val: psnr=36.1215, 46.1s 12.9m/2.5h
epoch 18/200, train: loss=0.0231, val: psnr=35.6483, 41.0s 13.6m/2.5h
epoch 19/200, train: loss=0.0238, val: psnr=35.3690, 39.1s 14.2m/2.5h
epoch 20/200, train: loss=0.0236, val: psnr=35.8594, 41.9s 14.9m/2.5h
epoch 21/200, train: loss=0.0235, val: psnr=35.8583, 48.1s 15.7m/2.5h
epoch 22/200, train: loss=0.0235, val: psnr=35.7453, 54.3s 16.6m/2.5h
epoch 23/200, train: loss=0.0231, val: psnr=36.0322, 52.9s 17.5m/2.5h
epoch 24/200, train: loss=0.0234, val: psnr=36.3288, 50.7s 18.3m/2.5h
epoch 25/200, train: loss=0.0231, val: psnr=35.9310, 46.4s 19.1m/2.5h
epoch 26/200, train: loss=0.0231, val: psnr=35.8827, 40.6s 19.8m/2.5h
epoch 27/200, train: loss=0.0231, val: psnr=35.6147, 38.9s 20.4m/2.5h
epoch 28/200, train: loss=0.0232, val: psnr=36.1312, 42.8s 21.1m/2.5h
epoch 29/200, train: loss=0.0231, val: psnr=36.0314, 48.6s 22.0m/2.5h
epoch 30/200, train: loss=0.0232, val: psnr=36.0032, 56.4s 22.9m/2.5h
epoch 31/200, train: loss=0.0231, val: psnr=36.0711, 54.5s 23.8m/2.6h
epoch 32/200, train: loss=0.0228, val: psnr=35.7588, 51.6s 24.7m/2.6h
epoch 33/200, train: loss=0.0230, val: psnr=35.9325, 47.2s 25.5m/2.6h
epoch 34/200, train: loss=0.0228, val: psnr=36.1435, 40.8s 26.1m/2.6h
epoch 35/200, train: loss=0.0224, val: psnr=36.2583, 39.2s 26.8m/2.6h
epoch 36/200, train: loss=0.0222, val: psnr=36.1421, 42.2s 27.5m/2.5h
epoch 37/200, train: loss=0.0229, val: psnr=36.4111, 48.1s 28.3m/2.5h
epoch 38/200, train: loss=0.0228, val: psnr=36.6165, 54.1s 29.2m/2.6h
epoch 39/200, train: loss=0.0224, val: psnr=36.3991, 52.4s 30.1m/2.6h
epoch 40/200, train: loss=0.0227, val: psnr=36.3474, 50.0s 30.9m/2.6h
epoch 41/200, train: loss=0.0221, val: psnr=36.5085, 46.4s 31.7m/2.6h
epoch 42/200, train: loss=0.0223, val: psnr=36.3066, 41.7s 32.4m/2.6h
epoch 43/200, train: loss=0.0221, val: psnr=36.3439, 38.7s 33.0m/2.6h
epoch 44/200, train: loss=0.0223, val: psnr=36.1193, 42.3s 33.7m/2.6h
epoch 45/200, train: loss=0.0221, val: psnr=36.3013, 48.6s 34.5m/2.6h
epoch 46/200, train: loss=0.0221, val: psnr=36.3181, 54.5s 35.4m/2.6h
epoch 47/200, train: loss=0.0223, val: psnr=36.2107, 52.9s 36.3m/2.6h
epoch 48/200, train: loss=0.0225, val: psnr=36.6008, 51.1s 37.2m/2.6h
epoch 49/200, train: loss=0.0222, val: psnr=36.7245, 47.4s 38.0m/2.6h
epoch 50/200, train: loss=0.0223, val: psnr=36.4771, 42.6s 38.7m/2.6h
epoch 51/200, train: loss=0.0221, val: psnr=36.7273, 39.3s 39.3m/2.6h
epoch 52/200, train: loss=0.0222, val: psnr=36.4449, 39.9s 40.0m/2.6h
epoch 53/200, train: loss=0.0223, val: psnr=36.2362, 47.4s 40.8m/2.6h
epoch 54/200, train: loss=0.0220, val: psnr=36.3656, 52.4s 41.7m/2.6h
epoch 55/200, train: loss=0.0219, val: psnr=36.5500, 52.3s 42.5m/2.6h
epoch 56/200, train: loss=0.0220, val: psnr=36.6431, 51.1s 43.4m/2.6h
epoch 57/200, train: loss=0.0219, val: psnr=36.4529, 47.7s 44.2m/2.6h
epoch 58/200, train: loss=0.0219, val: psnr=36.5493, 43.3s 44.9m/2.6h
epoch 59/200, train: loss=0.0221, val: psnr=36.2553, 39.3s 45.5m/2.6h
epoch 60/200, train: loss=0.0217, val: psnr=36.4696, 39.5s 46.2m/2.6h
epoch 61/200, train: loss=0.0220, val: psnr=36.4736, 46.7s 47.0m/2.6h
epoch 62/200, train: loss=0.0220, val: psnr=36.7263, 51.6s 47.8m/2.6h
epoch 63/200, train: loss=0.0219, val: psnr=36.1405, 52.3s 48.7m/2.6h
epoch 64/200, train: loss=0.0220, val: psnr=36.4791, 51.6s 49.6m/2.6h
epoch 65/200, train: loss=0.0218, val: psnr=36.6396, 47.3s 50.4m/2.6h
epoch 66/200, train: loss=0.0219, val: psnr=36.7096, 43.0s 51.1m/2.6h
epoch 67/200, train: loss=0.0219, val: psnr=36.7517, 38.6s 51.7m/2.6h
epoch 68/200, train: loss=0.0222, val: psnr=36.6705, 39.4s 52.4m/2.6h
epoch 69/200, train: loss=0.0222, val: psnr=36.5994, 46.5s 53.2m/2.6h
epoch 70/200, train: loss=0.0220, val: psnr=36.5901, 51.1s 54.0m/2.6h
epoch 71/200, train: loss=0.0222, val: psnr=36.8067, 51.5s 54.9m/2.6h
epoch 72/200, train: loss=0.0220, val: psnr=36.5545, 50.5s 55.7m/2.6h
epoch 73/200, train: loss=0.0220, val: psnr=36.5137, 47.0s 56.5m/2.6h
epoch 74/200, train: loss=0.0218, val: psnr=36.7545, 42.7s 57.2m/2.6h
epoch 75/200, train: loss=0.0219, val: psnr=36.6454, 39.1s 57.9m/2.6h
epoch 76/200, train: loss=0.0218, val: psnr=36.6804, 40.0s 58.5m/2.6h
epoch 77/200, train: loss=0.0220, val: psnr=36.6678, 46.9s 59.3m/2.6h
epoch 78/200, train: loss=0.0216, val: psnr=36.8392, 51.1s 1.0h/2.6h
epoch 79/200, train: loss=0.0222, val: psnr=36.4574, 51.7s 1.0h/2.6h
epoch 80/200, train: loss=0.0218, val: psnr=36.6742, 50.7s 1.0h/2.6h
epoch 81/200, train: loss=0.0216, val: psnr=36.8018, 46.8s 1.0h/2.6h
epoch 82/200, train: loss=0.0216, val: psnr=36.9287, 42.3s 1.1h/2.6h
epoch 83/200, train: loss=0.0217, val: psnr=36.5999, 39.6s 1.1h/2.6h
epoch 84/200, train: loss=0.0217, val: psnr=36.8128, 40.2s 1.1h/2.6h
epoch 85/200, train: loss=0.0217, val: psnr=36.5226, 46.8s 1.1h/2.6h
epoch 86/200, train: loss=0.0217, val: psnr=36.7908, 51.0s 1.1h/2.6h
epoch 87/200, train: loss=0.0217, val: psnr=36.6887, 51.7s 1.1h/2.6h
epoch 88/200, train: loss=0.0218, val: psnr=36.8129, 50.8s 1.1h/2.6h
epoch 89/200, train: loss=0.0216, val: psnr=36.5277, 47.3s 1.1h/2.6h
epoch 90/200, train: loss=0.0216, val: psnr=36.7866, 43.5s 1.2h/2.6h
epoch 91/200, train: loss=0.0216, val: psnr=36.9008, 38.6s 1.2h/2.6h
epoch 92/200, train: loss=0.0216, val: psnr=36.7875, 38.8s 1.2h/2.6h
epoch 93/200, train: loss=0.0217, val: psnr=36.9223, 46.1s 1.2h/2.6h
epoch 94/200, train: loss=0.0216, val: psnr=36.9795, 50.6s 1.2h/2.6h
epoch 95/200, train: loss=0.0215, val: psnr=36.9202, 51.6s 1.2h/2.6h
epoch 96/200, train: loss=0.0215, val: psnr=36.7454, 50.8s 1.2h/2.6h
epoch 97/200, train: loss=0.0217, val: psnr=36.9256, 47.7s 1.2h/2.6h
epoch 98/200, train: loss=0.0215, val: psnr=36.8059, 42.6s 1.3h/2.6h
epoch 99/200, train: loss=0.0213, val: psnr=36.8826, 39.0s 1.3h/2.6h
