train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=457.8K
epoch 1/200, train: loss=0.0685, val: psnr=30.9791, 58.6s 58.6s/3.3h
epoch 2/200, train: loss=0.0348, val: psnr=32.7161, 58.0s 1.9m/3.2h
epoch 3/200, train: loss=0.0309, val: psnr=33.5046, 56.8s 2.9m/3.2h
epoch 4/200, train: loss=0.0290, val: psnr=32.0974, 54.5s 3.8m/3.2h
epoch 5/200, train: loss=0.0277, val: psnr=34.8548, 51.2s 4.7m/3.1h
epoch 6/200, train: loss=0.0258, val: psnr=34.9110, 47.9s 5.5m/3.0h
epoch 7/200, train: loss=0.0254, val: psnr=34.9077, 52.1s 6.3m/3.0h
epoch 8/200, train: loss=0.0256, val: psnr=35.0832, 53.7s 7.2m/3.0h
epoch 9/200, train: loss=0.0244, val: psnr=35.5949, 57.7s 8.2m/3.0h
epoch 10/200, train: loss=0.0242, val: psnr=35.1948, 57.6s 9.1m/3.0h
epoch 11/200, train: loss=0.0238, val: psnr=35.8954, 54.4s 10.0m/3.0h
epoch 12/200, train: loss=0.0235, val: psnr=35.7159, 50.8s 10.9m/3.0h
epoch 13/200, train: loss=0.0234, val: psnr=35.8523, 48.8s 11.7m/3.0h
epoch 14/200, train: loss=0.0234, val: psnr=36.0437, 49.3s 12.5m/3.0h
epoch 15/200, train: loss=0.0236, val: psnr=36.0142, 54.5s 13.4m/3.0h
epoch 16/200, train: loss=0.0231, val: psnr=35.6095, 59.4s 14.4m/3.0h
epoch 17/200, train: loss=0.0233, val: psnr=36.2989, 56.8s 15.4m/3.0h
epoch 18/200, train: loss=0.0236, val: psnr=36.3338, 54.9s 16.3m/3.0h
epoch 19/200, train: loss=0.0231, val: psnr=35.8688, 50.8s 17.1m/3.0h
epoch 20/200, train: loss=0.0229, val: psnr=35.9832, 49.1s 18.0m/3.0h
epoch 21/200, train: loss=0.0227, val: psnr=35.9120, 49.8s 18.8m/3.0h
epoch 22/200, train: loss=0.0230, val: psnr=36.1878, 54.8s 19.7m/3.0h
epoch 23/200, train: loss=0.0225, val: psnr=35.9764, 1.0m 20.7m/3.0h
epoch 24/200, train: loss=0.0232, val: psnr=36.2175, 58.5s 21.7m/3.0h
epoch 25/200, train: loss=0.0225, val: psnr=36.3158, 55.6s 22.6m/3.0h
epoch 26/200, train: loss=0.0230, val: psnr=36.1577, 51.3s 23.5m/3.0h
epoch 27/200, train: loss=0.0232, val: psnr=36.0894, 48.7s 24.3m/3.0h
epoch 28/200, train: loss=0.0227, val: psnr=35.8814, 49.7s 25.1m/3.0h
epoch 29/200, train: loss=0.0230, val: psnr=36.3873, 54.5s 26.0m/3.0h
epoch 30/200, train: loss=0.0220, val: psnr=36.0940, 58.9s 27.0m/3.0h
epoch 31/200, train: loss=0.0226, val: psnr=36.2195, 56.8s 28.0m/3.0h
epoch 32/200, train: loss=0.0229, val: psnr=36.0985, 54.0s 28.9m/3.0h
epoch 33/200, train: loss=0.0227, val: psnr=36.3748, 50.5s 29.7m/3.0h
epoch 34/200, train: loss=0.0227, val: psnr=35.8314, 48.7s 30.5m/3.0h
epoch 35/200, train: loss=0.0221, val: psnr=36.1820, 50.1s 31.3m/3.0h
epoch 36/200, train: loss=0.0223, val: psnr=36.4295, 54.7s 32.3m/3.0h
epoch 37/200, train: loss=0.0223, val: psnr=36.1546, 59.5s 33.2m/3.0h
epoch 38/200, train: loss=0.0220, val: psnr=36.4356, 56.9s 34.2m/3.0h
epoch 39/200, train: loss=0.0224, val: psnr=36.6216, 54.7s 35.1m/3.0h
epoch 40/200, train: loss=0.0221, val: psnr=36.5165, 51.4s 36.0m/3.0h
epoch 41/200, train: loss=0.0218, val: psnr=37.0400, 48.3s 36.8m/3.0h
epoch 42/200, train: loss=0.0219, val: psnr=36.4738, 48.9s 37.6m/3.0h
epoch 43/200, train: loss=0.0220, val: psnr=36.4669, 54.2s 38.5m/3.0h
epoch 44/200, train: loss=0.0220, val: psnr=36.5888, 57.7s 39.4m/3.0h
epoch 45/200, train: loss=0.0219, val: psnr=36.3651, 56.9s 40.4m/3.0h
epoch 46/200, train: loss=0.0218, val: psnr=36.4344, 54.7s 41.3m/3.0h
epoch 47/200, train: loss=0.0216, val: psnr=36.7695, 51.8s 42.2m/3.0h
epoch 48/200, train: loss=0.0221, val: psnr=36.6662, 48.1s 43.0m/3.0h
epoch 49/200, train: loss=0.0218, val: psnr=36.7177, 49.1s 43.8m/3.0h
epoch 50/200, train: loss=0.0216, val: psnr=37.0081, 53.1s 44.7m/3.0h
epoch 51/200, train: loss=0.0218, val: psnr=36.8920, 57.1s 45.6m/3.0h
epoch 52/200, train: loss=0.0218, val: psnr=36.8714, 57.2s 46.6m/3.0h
epoch 53/200, train: loss=0.0219, val: psnr=36.5646, 55.3s 47.5m/3.0h
epoch 54/200, train: loss=0.0218, val: psnr=36.7078, 51.4s 48.4m/3.0h
epoch 55/200, train: loss=0.0218, val: psnr=36.6790, 48.1s 49.2m/3.0h
epoch 56/200, train: loss=0.0219, val: psnr=36.8603, 48.6s 50.0m/3.0h
epoch 57/200, train: loss=0.0218, val: psnr=36.7915, 53.2s 50.9m/3.0h
epoch 58/200, train: loss=0.0218, val: psnr=36.7681, 56.2s 51.8m/3.0h
epoch 59/200, train: loss=0.0220, val: psnr=36.9220, 56.3s 52.7m/3.0h
epoch 60/200, train: loss=0.0217, val: psnr=36.5406, 54.6s 53.6m/3.0h
epoch 61/200, train: loss=0.0218, val: psnr=36.6704, 51.3s 54.5m/3.0h
epoch 62/200, train: loss=0.0212, val: psnr=36.6857, 48.0s 55.3m/3.0h
epoch 63/200, train: loss=0.0217, val: psnr=36.9177, 49.3s 56.1m/3.0h
epoch 64/200, train: loss=0.0217, val: psnr=36.9123, 53.2s 57.0m/3.0h
epoch 65/200, train: loss=0.0216, val: psnr=36.6602, 56.0s 57.9m/3.0h
epoch 66/200, train: loss=0.0217, val: psnr=36.8938, 56.6s 58.9m/3.0h
epoch 67/200, train: loss=0.0218, val: psnr=36.8107, 54.7s 59.8m/3.0h
epoch 68/200, train: loss=0.0217, val: psnr=36.7960, 51.4s 1.0h/3.0h
epoch 69/200, train: loss=0.0217, val: psnr=36.7898, 48.2s 1.0h/3.0h
epoch 70/200, train: loss=0.0217, val: psnr=36.9057, 49.1s 1.0h/3.0h
epoch 71/200, train: loss=0.0218, val: psnr=36.9621, 53.1s 1.1h/3.0h
epoch 72/200, train: loss=0.0216, val: psnr=36.8421, 56.2s 1.1h/3.0h
epoch 73/200, train: loss=0.0216, val: psnr=36.6572, 56.6s 1.1h/3.0h
epoch 74/200, train: loss=0.0214, val: psnr=36.7222, 54.7s 1.1h/3.0h
epoch 75/200, train: loss=0.0216, val: psnr=36.6353, 51.4s 1.1h/3.0h
epoch 76/200, train: loss=0.0217, val: psnr=36.6877, 47.8s 1.1h/3.0h
epoch 77/200, train: loss=0.0216, val: psnr=36.6288, 47.9s 1.1h/3.0h
epoch 78/200, train: loss=0.0218, val: psnr=36.7789, 52.8s 1.2h/3.0h
epoch 79/200, train: loss=0.0216, val: psnr=36.9625, 56.0s 1.2h/3.0h
epoch 80/200, train: loss=0.0214, val: psnr=36.8863, 56.6s 1.2h/3.0h
epoch 81/200, train: loss=0.0213, val: psnr=36.8243, 54.8s 1.2h/3.0h
epoch 82/200, train: loss=0.0216, val: psnr=36.9251, 51.7s 1.2h/3.0h
epoch 83/200, train: loss=0.0214, val: psnr=37.1619, 48.2s 1.2h/3.0h
epoch 84/200, train: loss=0.0213, val: psnr=36.8914, 48.8s 1.2h/3.0h
epoch 85/200, train: loss=0.0215, val: psnr=36.9537, 53.9s 1.3h/3.0h
epoch 86/200, train: loss=0.0213, val: psnr=37.2363, 57.0s 1.3h/3.0h
epoch 87/200, train: loss=0.0214, val: psnr=36.7983, 56.4s 1.3h/3.0h
epoch 88/200, train: loss=0.0215, val: psnr=37.0284, 54.7s 1.3h/3.0h
epoch 89/200, train: loss=0.0215, val: psnr=37.1382, 51.1s 1.3h/3.0h
epoch 90/200, train: loss=0.0214, val: psnr=36.9672, 48.0s 1.3h/3.0h
epoch 91/200, train: loss=0.0214, val: psnr=36.8435, 49.5s 1.3h/3.0h
epoch 92/200, train: loss=0.0214, val: psnr=37.2264, 53.9s 1.4h/3.0h
epoch 93/200, train: loss=0.0212, val: psnr=37.0823, 57.6s 1.4h/3.0h
epoch 94/200, train: loss=0.0214, val: psnr=37.2531, 57.2s 1.4h/3.0h
epoch 95/200, train: loss=0.0215, val: psnr=37.1455, 54.2s 1.4h/3.0h
epoch 96/200, train: loss=0.0214, val: psnr=36.8918, 50.9s 1.4h/3.0h
epoch 97/200, train: loss=0.0214, val: psnr=37.0773, 48.0s 1.4h/3.0h
epoch 98/200, train: loss=0.0213, val: psnr=36.7876, 49.0s 1.4h/3.0h
epoch 99/200, train: loss=0.0214, val: psnr=36.9938, 53.1s 1.5h/3.0h
epoch 100/200, train: loss=0.0212, val: psnr=37.0639, 56.0s 1.5h/3.0h
epoch 101/200, train: loss=0.0213, val: psnr=36.8506, 56.5s 1.5h/3.0h
epoch 102/200, train: loss=0.0213, val: psnr=37.0155, 54.6s 1.5h/3.0h
epoch 103/200, train: loss=0.0214, val: psnr=37.0073, 50.8s 1.5h/3.0h
epoch 104/200, train: loss=0.0213, val: psnr=37.0481, 48.4s 1.5h/3.0h
epoch 105/200, train: loss=0.0215, val: psnr=36.9196, 49.4s 1.6h/3.0h
epoch 106/200, train: loss=0.0213, val: psnr=36.9170, 53.7s 1.6h/3.0h
epoch 107/200, train: loss=0.0217, val: psnr=37.0021, 57.5s 1.6h/3.0h
epoch 108/200, train: loss=0.0214, val: psnr=37.0346, 56.2s 1.6h/3.0h
epoch 109/200, train: loss=0.0215, val: psnr=36.8580, 54.4s 1.6h/3.0h
epoch 110/200, train: loss=0.0213, val: psnr=37.0389, 51.4s 1.6h/3.0h
epoch 111/200, train: loss=0.0213, val: psnr=36.9563, 48.1s 1.6h/3.0h
epoch 112/200, train: loss=0.0215, val: psnr=37.1860, 48.5s 1.7h/3.0h
epoch 113/200, train: loss=0.0214, val: psnr=37.0014, 53.7s 1.7h/3.0h
epoch 114/200, train: loss=0.0214, val: psnr=36.6474, 56.5s 1.7h/3.0h
epoch 115/200, train: loss=0.0215, val: psnr=36.7992, 56.3s 1.7h/3.0h
epoch 116/200, train: loss=0.0211, val: psnr=36.8483, 54.6s 1.7h/3.0h
epoch 117/200, train: loss=0.0214, val: psnr=36.9827, 51.2s 1.7h/3.0h
epoch 118/200, train: loss=0.0212, val: psnr=36.9733, 48.1s 1.7h/3.0h
epoch 119/200, train: loss=0.0214, val: psnr=36.7800, 49.1s 1.8h/3.0h
epoch 120/200, train: loss=0.0213, val: psnr=37.0806, 53.8s 1.8h/3.0h
epoch 121/200, train: loss=0.0213, val: psnr=36.9175, 57.4s 1.8h/3.0h
epoch 122/200, train: loss=0.0212, val: psnr=37.0463, 56.7s 1.8h/3.0h
epoch 123/200, train: loss=0.0211, val: psnr=37.0708, 54.5s 1.8h/3.0h
epoch 124/200, train: loss=0.0216, val: psnr=36.8747, 51.2s 1.8h/3.0h
epoch 125/200, train: loss=0.0212, val: psnr=36.8700, 47.8s 1.8h/3.0h
epoch 126/200, train: loss=0.0214, val: psnr=37.0458, 49.2s 1.9h/3.0h
epoch 127/200, train: loss=0.0211, val: psnr=36.8742, 53.6s 1.9h/3.0h
epoch 128/200, train: loss=0.0213, val: psnr=37.1690, 56.6s 1.9h/3.0h
epoch 129/200, train: loss=0.0213, val: psnr=37.2026, 56.4s 1.9h/3.0h
epoch 130/200, train: loss=0.0213, val: psnr=36.9470, 54.7s 1.9h/3.0h
epoch 131/200, train: loss=0.0213, val: psnr=36.9919, 51.8s 1.9h/3.0h
epoch 132/200, train: loss=0.0212, val: psnr=36.9740, 48.0s 1.9h/3.0h
epoch 133/200, train: loss=0.0212, val: psnr=37.2676, 49.0s 2.0h/3.0h
epoch 134/200, train: loss=0.0212, val: psnr=36.8432, 53.2s 2.0h/3.0h
epoch 135/200, train: loss=0.0213, val: psnr=37.0752, 55.8s 2.0h/3.0h
epoch 136/200, train: loss=0.0212, val: psnr=37.0614, 56.6s 2.0h/3.0h
epoch 137/200, train: loss=0.0212, val: psnr=36.7933, 54.7s 2.0h/3.0h
epoch 138/200, train: loss=0.0211, val: psnr=37.1984, 51.5s 2.0h/3.0h
epoch 139/200, train: loss=0.0213, val: psnr=37.0927, 47.9s 2.1h/3.0h
epoch 140/200, train: loss=0.0211, val: psnr=37.0424, 49.2s 2.1h/2.9h
epoch 141/200, train: loss=0.0215, val: psnr=36.8218, 53.8s 2.1h/2.9h
epoch 142/200, train: loss=0.0212, val: psnr=37.2393, 56.9s 2.1h/3.0h
epoch 143/200, train: loss=0.0212, val: psnr=37.0086, 56.5s 2.1h/3.0h
epoch 144/200, train: loss=0.0214, val: psnr=37.1174, 54.4s 2.1h/3.0h
epoch 145/200, train: loss=0.0213, val: psnr=37.1001, 51.3s 2.1h/3.0h
epoch 146/200, train: loss=0.0211, val: psnr=36.9182, 47.7s 2.2h/3.0h
epoch 147/200, train: loss=0.0213, val: psnr=37.2466, 48.2s 2.2h/2.9h
epoch 148/200, train: loss=0.0212, val: psnr=36.9066, 52.8s 2.2h/2.9h
epoch 149/200, train: loss=0.0212, val: psnr=37.1198, 56.5s 2.2h/2.9h
epoch 150/200, train: loss=0.0211, val: psnr=37.2452, 56.3s 2.2h/3.0h
epoch 151/200, train: loss=0.0210, val: psnr=37.0191, 55.0s 2.2h/3.0h
epoch 152/200, train: loss=0.0212, val: psnr=36.8479, 51.4s 2.2h/3.0h
epoch 153/200, train: loss=0.0212, val: psnr=37.0447, 48.0s 2.3h/2.9h
epoch 154/200, train: loss=0.0213, val: psnr=37.1248, 48.5s 2.3h/2.9h
