train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=5.4M
epoch 1/200, train: loss=0.0468, val: psnr=32.5024, 2.3m 2.3m/7.5h
epoch 2/200, train: loss=0.0274, val: psnr=34.5029, 2.2m 4.5m/7.5h
epoch 3/200, train: loss=0.0257, val: psnr=35.6023, 2.2m 6.7m/7.4h
epoch 4/200, train: loss=0.0244, val: psnr=34.8959, 2.1m 8.8m/7.3h
epoch 5/200, train: loss=0.0240, val: psnr=35.8908, 2.2m 11.0m/7.3h
epoch 6/200, train: loss=0.0232, val: psnr=35.8454, 2.1m 13.1m/7.3h
epoch 7/200, train: loss=0.0235, val: psnr=35.4494, 2.2m 15.3m/7.3h
epoch 8/200, train: loss=0.0233, val: psnr=35.8360, 2.2m 17.4m/7.3h
epoch 9/200, train: loss=0.0231, val: psnr=35.2646, 2.2m 19.6m/7.3h
epoch 10/200, train: loss=0.0232, val: psnr=36.1242, 2.2m 21.7m/7.2h
epoch 11/200, train: loss=0.0232, val: psnr=36.1264, 2.2m 23.9m/7.2h
epoch 12/200, train: loss=0.0229, val: psnr=36.0458, 2.1m 26.0m/7.2h
epoch 13/200, train: loss=0.0226, val: psnr=36.2490, 2.2m 28.2m/7.2h
epoch 14/200, train: loss=0.0223, val: psnr=36.3506, 2.2m 30.4m/7.2h
epoch 15/200, train: loss=0.0225, val: psnr=36.2752, 2.2m 32.5m/7.2h
epoch 16/200, train: loss=0.0226, val: psnr=36.3881, 2.2m 34.7m/7.2h
epoch 17/200, train: loss=0.0220, val: psnr=36.3699, 2.2m 36.8m/7.2h
epoch 18/200, train: loss=0.0221, val: psnr=36.1042, 2.2m 39.0m/7.2h
epoch 19/200, train: loss=0.0222, val: psnr=36.5471, 2.2m 41.2m/7.2h
epoch 20/200, train: loss=0.0224, val: psnr=36.9022, 2.2m 43.3m/7.2h
epoch 21/200, train: loss=0.0223, val: psnr=35.7457, 2.2m 45.5m/7.2h
epoch 22/200, train: loss=0.0222, val: psnr=36.4211, 2.2m 47.6m/7.2h
epoch 23/200, train: loss=0.0220, val: psnr=36.6463, 2.2m 49.8m/7.2h
epoch 24/200, train: loss=0.0217, val: psnr=36.5185, 2.2m 51.9m/7.2h
epoch 25/200, train: loss=0.0215, val: psnr=36.7714, 2.2m 54.1m/7.2h
epoch 26/200, train: loss=0.0219, val: psnr=36.8143, 2.2m 56.2m/7.2h
epoch 27/200, train: loss=0.0216, val: psnr=36.5854, 2.2m 58.4m/7.2h
epoch 28/200, train: loss=0.0216, val: psnr=36.8701, 2.2m 1.0h/7.2h
epoch 29/200, train: loss=0.0216, val: psnr=37.1003, 2.2m 1.0h/7.2h
epoch 30/200, train: loss=0.0215, val: psnr=37.0651, 2.2m 1.1h/7.2h
epoch 31/200, train: loss=0.0217, val: psnr=36.8109, 2.1m 1.1h/7.2h
epoch 32/200, train: loss=0.0216, val: psnr=37.1431, 2.2m 1.2h/7.2h
epoch 33/200, train: loss=0.0216, val: psnr=36.8775, 2.2m 1.2h/7.2h
epoch 34/200, train: loss=0.0216, val: psnr=36.2100, 2.2m 1.2h/7.2h
epoch 35/200, train: loss=0.0214, val: psnr=36.9765, 2.2m 1.3h/7.2h
epoch 36/200, train: loss=0.0214, val: psnr=37.1166, 2.2m 1.3h/7.2h
epoch 37/200, train: loss=0.0214, val: psnr=37.0170, 2.2m 1.3h/7.2h
epoch 38/200, train: loss=0.0214, val: psnr=37.1920, 2.2m 1.4h/7.2h
epoch 39/200, train: loss=0.0216, val: psnr=36.8265, 2.2m 1.4h/7.2h
epoch 40/200, train: loss=0.0215, val: psnr=36.9192, 2.2m 1.4h/7.2h
epoch 41/200, train: loss=0.0214, val: psnr=36.9586, 2.2m 1.5h/7.2h
epoch 42/200, train: loss=0.0210, val: psnr=36.9454, 2.2m 1.5h/7.2h
epoch 43/200, train: loss=0.0210, val: psnr=37.0903, 2.2m 1.5h/7.2h
epoch 44/200, train: loss=0.0208, val: psnr=37.1498, 2.2m 1.6h/7.2h
epoch 45/200, train: loss=0.0210, val: psnr=37.1983, 2.2m 1.6h/7.2h
epoch 46/200, train: loss=0.0210, val: psnr=37.1270, 2.2m 1.7h/7.2h
epoch 47/200, train: loss=0.0210, val: psnr=37.3236, 2.2m 1.7h/7.2h
epoch 48/200, train: loss=0.0212, val: psnr=37.3846, 2.2m 1.7h/7.2h
epoch 49/200, train: loss=0.0211, val: psnr=37.4859, 2.2m 1.8h/7.2h
epoch 50/200, train: loss=0.0210, val: psnr=37.2822, 2.2m 1.8h/7.2h
epoch 51/200, train: loss=0.0212, val: psnr=37.1715, 2.2m 1.8h/7.2h
epoch 52/200, train: loss=0.0211, val: psnr=37.3655, 2.2m 1.9h/7.2h
epoch 53/200, train: loss=0.0211, val: psnr=37.3003, 2.2m 1.9h/7.2h
epoch 54/200, train: loss=0.0211, val: psnr=37.2714, 2.2m 1.9h/7.2h
