train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=313.3K
epoch 1/200, train: loss=0.0572, val: psnr=32.5482, 1.3m 1.3m/4.4h
epoch 2/200, train: loss=0.0302, val: psnr=34.1738, 1.1m 2.5m/4.1h
epoch 3/200, train: loss=0.0269, val: psnr=34.5569, 1.0m 3.5m/3.9h
epoch 4/200, train: loss=0.0255, val: psnr=35.5170, 1.0m 4.5m/3.7h
epoch 5/200, train: loss=0.0249, val: psnr=34.2464, 1.2m 5.6m/3.8h
epoch 6/200, train: loss=0.0238, val: psnr=35.1874, 1.3m 6.9m/3.8h
epoch 7/200, train: loss=0.0240, val: psnr=35.6416, 1.7m 8.7m/4.1h
epoch 8/200, train: loss=0.0238, val: psnr=35.7051, 1.8m 10.5m/4.4h
epoch 9/200, train: loss=0.0233, val: psnr=35.7607, 1.5m 12.0m/4.4h
epoch 10/200, train: loss=0.0236, val: psnr=35.5253, 1.2m 13.2m/4.4h
epoch 11/200, train: loss=0.0229, val: psnr=35.6916, 1.4m 14.6m/4.4h
epoch 12/200, train: loss=0.0229, val: psnr=35.9004, 1.6m 16.2m/4.5h
epoch 13/200, train: loss=0.0232, val: psnr=36.1205, 1.7m 17.9m/4.6h
epoch 14/200, train: loss=0.0229, val: psnr=35.7123, 1.6m 19.4m/4.6h
epoch 15/200, train: loss=0.0229, val: psnr=35.8529, 1.1m 20.5m/4.6h
epoch 16/200, train: loss=0.0228, val: psnr=35.7555, 1.4m 21.9m/4.6h
epoch 17/200, train: loss=0.0230, val: psnr=36.2287, 1.6m 23.5m/4.6h
epoch 18/200, train: loss=0.0228, val: psnr=35.9263, 1.7m 25.2m/4.7h
epoch 19/200, train: loss=0.0232, val: psnr=36.0234, 1.4m 26.6m/4.7h
epoch 20/200, train: loss=0.0226, val: psnr=36.1562, 1.1m 27.6m/4.6h
epoch 21/200, train: loss=0.0224, val: psnr=35.9656, 1.5m 29.2m/4.6h
epoch 22/200, train: loss=0.0226, val: psnr=36.2154, 1.6m 30.8m/4.7h
epoch 23/200, train: loss=0.0228, val: psnr=35.8184, 1.5m 32.3m/4.7h
epoch 24/200, train: loss=0.0227, val: psnr=35.9013, 1.3m 33.6m/4.7h
epoch 25/200, train: loss=0.0228, val: psnr=35.9640, 1.2m 34.8m/4.6h
epoch 26/200, train: loss=0.0230, val: psnr=36.2280, 1.6m 36.4m/4.7h
epoch 27/200, train: loss=0.0226, val: psnr=36.2667, 1.6m 38.1m/4.7h
epoch 28/200, train: loss=0.0225, val: psnr=36.0133, 1.6m 39.7m/4.7h
epoch 29/200, train: loss=0.0226, val: psnr=36.1495, 1.5m 41.2m/4.7h
epoch 30/200, train: loss=0.0225, val: psnr=36.0849, 1.3m 42.5m/4.7h
epoch 31/200, train: loss=0.0227, val: psnr=35.6026, 1.4m 43.9m/4.7h
epoch 32/200, train: loss=0.0224, val: psnr=36.2224, 1.7m 45.5m/4.7h
epoch 33/200, train: loss=0.0226, val: psnr=36.1927, 1.8m 47.4m/4.8h
epoch 34/200, train: loss=0.0224, val: psnr=36.1458, 1.7m 49.1m/4.8h
epoch 35/200, train: loss=0.0222, val: psnr=36.2171, 1.6m 50.7m/4.8h
epoch 36/200, train: loss=0.0222, val: psnr=36.1558, 1.5m 52.2m/4.8h
epoch 37/200, train: loss=0.0224, val: psnr=36.3958, 1.3m 53.5m/4.8h
epoch 38/200, train: loss=0.0222, val: psnr=36.5564, 1.4m 55.0m/4.8h
epoch 39/200, train: loss=0.0220, val: psnr=36.0810, 1.6m 56.6m/4.8h
epoch 40/200, train: loss=0.0224, val: psnr=36.6699, 1.8m 58.4m/4.9h
epoch 41/200, train: loss=0.0220, val: psnr=36.6552, 1.9m 1.0h/4.9h
epoch 42/200, train: loss=0.0216, val: psnr=36.5565, 1.9m 1.0h/4.9h
epoch 43/200, train: loss=0.0217, val: psnr=36.7975, 1.8m 1.1h/5.0h
epoch 44/200, train: loss=0.0218, val: psnr=36.5939, 1.9m 1.1h/5.0h
epoch 45/200, train: loss=0.0218, val: psnr=36.4209, 1.8m 1.1h/5.0h
epoch 46/200, train: loss=0.0219, val: psnr=36.5198, 1.8m 1.2h/5.0h
epoch 47/200, train: loss=0.0217, val: psnr=36.4923, 1.7m 1.2h/5.0h
epoch 48/200, train: loss=0.0219, val: psnr=36.7875, 1.6m 1.2h/5.0h
epoch 49/200, train: loss=0.0219, val: psnr=36.6290, 1.4m 1.2h/5.0h
epoch 50/200, train: loss=0.0216, val: psnr=36.8873, 1.4m 1.3h/5.0h
epoch 51/200, train: loss=0.0218, val: psnr=36.8004, 1.5m 1.3h/5.0h
epoch 52/200, train: loss=0.0218, val: psnr=36.6387, 1.6m 1.3h/5.0h
epoch 53/200, train: loss=0.0218, val: psnr=36.6257, 1.7m 1.3h/5.0h
epoch 54/200, train: loss=0.0218, val: psnr=36.8355, 1.7m 1.4h/5.1h
epoch 55/200, train: loss=0.0215, val: psnr=36.5975, 1.5m 1.4h/5.1h
epoch 56/200, train: loss=0.0217, val: psnr=36.6061, 1.2m 1.4h/5.0h
epoch 57/200, train: loss=0.0216, val: psnr=36.5514, 1.4m 1.4h/5.0h
epoch 58/200, train: loss=0.0219, val: psnr=36.8377, 1.6m 1.5h/5.0h
epoch 59/200, train: loss=0.0214, val: psnr=36.8069, 1.7m 1.5h/5.1h
epoch 60/200, train: loss=0.0217, val: psnr=36.6172, 1.5m 1.5h/5.0h
epoch 61/200, train: loss=0.0215, val: psnr=36.7180, 1.2m 1.5h/5.0h
epoch 62/200, train: loss=0.0216, val: psnr=36.7140, 1.4m 1.6h/5.0h
epoch 63/200, train: loss=0.0215, val: psnr=36.7801, 1.6m 1.6h/5.0h
epoch 64/200, train: loss=0.0215, val: psnr=36.7183, 1.7m 1.6h/5.0h
epoch 65/200, train: loss=0.0215, val: psnr=36.8351, 1.5m 1.6h/5.0h
epoch 66/200, train: loss=0.0216, val: psnr=36.6160, 1.2m 1.7h/5.0h
epoch 67/200, train: loss=0.0217, val: psnr=36.8325, 1.5m 1.7h/5.0h
epoch 68/200, train: loss=0.0217, val: psnr=36.8408, 1.7m 1.7h/5.0h
epoch 69/200, train: loss=0.0217, val: psnr=37.0535, 1.6m 1.7h/5.0h
epoch 70/200, train: loss=0.0215, val: psnr=36.8753, 1.3m 1.8h/5.0h
epoch 71/200, train: loss=0.0216, val: psnr=36.9469, 1.2m 1.8h/5.0h
epoch 72/200, train: loss=0.0217, val: psnr=36.7734, 1.7m 1.8h/5.0h
epoch 73/200, train: loss=0.0215, val: psnr=37.1161, 1.7m 1.8h/5.0h
epoch 74/200, train: loss=0.0216, val: psnr=36.7089, 1.6m 1.9h/5.0h
epoch 75/200, train: loss=0.0216, val: psnr=36.8444, 1.5m 1.9h/5.0h
epoch 76/200, train: loss=0.0214, val: psnr=36.7243, 1.3m 1.9h/5.0h
epoch 77/200, train: loss=0.0217, val: psnr=36.9420, 1.4m 1.9h/5.0h
epoch 78/200, train: loss=0.0217, val: psnr=36.8193, 1.6m 2.0h/5.0h
epoch 79/200, train: loss=0.0214, val: psnr=36.8002, 1.7m 2.0h/5.0h
epoch 80/200, train: loss=0.0216, val: psnr=36.8904, 1.7m 2.0h/5.0h
epoch 81/200, train: loss=0.0216, val: psnr=36.9289, 1.6m 2.0h/5.0h
epoch 82/200, train: loss=0.0213, val: psnr=36.9619, 1.5m 2.1h/5.0h
epoch 83/200, train: loss=0.0213, val: psnr=36.9059, 1.4m 2.1h/5.0h
epoch 84/200, train: loss=0.0213, val: psnr=36.9059, 1.3m 2.1h/5.0h
epoch 85/200, train: loss=0.0214, val: psnr=36.3608, 1.6m 2.1h/5.0h
epoch 86/200, train: loss=0.0215, val: psnr=36.7550, 1.7m 2.2h/5.0h
epoch 87/200, train: loss=0.0215, val: psnr=37.1801, 1.8m 2.2h/5.0h
epoch 88/200, train: loss=0.0215, val: psnr=36.8000, 1.8m 2.2h/5.1h
epoch 89/200, train: loss=0.0215, val: psnr=37.0105, 1.6m 2.3h/5.1h
epoch 90/200, train: loss=0.0213, val: psnr=36.6651, 1.5m 2.3h/5.1h
