train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=393.5K
epoch 1/200, train: loss=0.0619, val: psnr=31.2036, 1.7m 1.7m/5.5h
epoch 2/200, train: loss=0.0346, val: psnr=33.2438, 1.8m 3.5m/5.8h
epoch 3/200, train: loss=0.0294, val: psnr=33.6131, 1.7m 5.2m/5.8h
epoch 4/200, train: loss=0.0283, val: psnr=35.0138, 1.6m 6.8m/5.6h
epoch 5/200, train: loss=0.0259, val: psnr=34.4005, 1.3m 8.1m/5.4h
epoch 6/200, train: loss=0.0253, val: psnr=34.9230, 1.3m 9.3m/5.2h
epoch 7/200, train: loss=0.0244, val: psnr=35.3888, 1.6m 10.9m/5.2h
epoch 8/200, train: loss=0.0240, val: psnr=35.6755, 1.7m 12.6m/5.3h
epoch 9/200, train: loss=0.0238, val: psnr=35.2229, 1.7m 14.3m/5.3h
epoch 10/200, train: loss=0.0243, val: psnr=35.7967, 1.4m 15.7m/5.2h
epoch 11/200, train: loss=0.0238, val: psnr=35.5325, 1.2m 16.9m/5.1h
epoch 12/200, train: loss=0.0234, val: psnr=35.9134, 1.5m 18.3m/5.1h
epoch 13/200, train: loss=0.0234, val: psnr=35.8741, 1.7m 20.0m/5.1h
epoch 14/200, train: loss=0.0231, val: psnr=35.6024, 1.7m 21.7m/5.2h
epoch 15/200, train: loss=0.0238, val: psnr=35.5906, 1.4m 23.1m/5.1h
epoch 16/200, train: loss=0.0231, val: psnr=35.6091, 1.2m 24.3m/5.1h
epoch 17/200, train: loss=0.0234, val: psnr=35.8306, 1.5m 25.8m/5.1h
epoch 18/200, train: loss=0.0230, val: psnr=35.5768, 1.6m 27.4m/5.1h
epoch 19/200, train: loss=0.0233, val: psnr=35.5213, 1.7m 29.1m/5.1h
epoch 20/200, train: loss=0.0231, val: psnr=36.0669, 1.6m 30.7m/5.1h
epoch 21/200, train: loss=0.0236, val: psnr=35.8621, 1.4m 32.1m/5.1h
epoch 22/200, train: loss=0.0232, val: psnr=35.7404, 1.3m 33.4m/5.1h
epoch 23/200, train: loss=0.0232, val: psnr=35.7829, 1.5m 34.8m/5.0h
epoch 24/200, train: loss=0.0227, val: psnr=35.8985, 1.6m 36.5m/5.1h
epoch 25/200, train: loss=0.0228, val: psnr=36.2201, 1.8m 38.3m/5.1h
epoch 26/200, train: loss=0.0228, val: psnr=35.8929, 1.8m 40.1m/5.1h
epoch 27/200, train: loss=0.0229, val: psnr=35.8765, 1.6m 41.7m/5.1h
epoch 28/200, train: loss=0.0230, val: psnr=36.0658, 1.4m 43.1m/5.1h
epoch 29/200, train: loss=0.0226, val: psnr=36.1228, 1.4m 44.4m/5.1h
epoch 30/200, train: loss=0.0227, val: psnr=36.0540, 1.5m 46.0m/5.1h
epoch 31/200, train: loss=0.0228, val: psnr=34.8234, 1.7m 47.6m/5.1h
epoch 32/200, train: loss=0.0228, val: psnr=36.3622, 1.7m 49.4m/5.1h
epoch 33/200, train: loss=0.0228, val: psnr=36.2158, 1.8m 51.2m/5.2h
epoch 34/200, train: loss=0.0229, val: psnr=36.0658, 1.9m 53.0m/5.2h
epoch 35/200, train: loss=0.0222, val: psnr=36.3514, 1.9m 55.0m/5.2h
