train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=1.2M
epoch 1/200, train: loss=0.0739, val: psnr=30.3558, 1.8m 1.8m/6.0h
epoch 2/200, train: loss=0.0362, val: psnr=32.5697, 1.8m 3.6m/6.0h
epoch 3/200, train: loss=0.0321, val: psnr=33.8491, 1.8m 5.4m/6.0h
epoch 4/200, train: loss=0.0298, val: psnr=33.9679, 1.8m 7.2m/6.0h
epoch 5/200, train: loss=0.0278, val: psnr=34.8231, 1.8m 9.0m/6.0h
epoch 6/200, train: loss=0.0275, val: psnr=33.3897, 1.8m 10.8m/6.0h
epoch 7/200, train: loss=0.0258, val: psnr=35.0232, 1.8m 12.6m/6.0h
epoch 8/200, train: loss=0.0252, val: psnr=35.5800, 1.8m 14.4m/6.0h
epoch 9/200, train: loss=0.0246, val: psnr=35.8950, 1.7m 16.1m/6.0h
epoch 10/200, train: loss=0.0245, val: psnr=35.3298, 1.8m 17.9m/6.0h
epoch 11/200, train: loss=0.0239, val: psnr=35.7749, 1.8m 19.6m/5.9h
epoch 12/200, train: loss=0.0232, val: psnr=35.0376, 1.7m 21.4m/5.9h
epoch 13/200, train: loss=0.0241, val: psnr=35.7886, 1.8m 23.1m/5.9h
epoch 14/200, train: loss=0.0241, val: psnr=35.3592, 1.8m 24.9m/5.9h
epoch 15/200, train: loss=0.0245, val: psnr=35.8460, 1.7m 26.6m/5.9h
epoch 16/200, train: loss=0.0230, val: psnr=36.1829, 1.7m 28.3m/5.9h
epoch 17/200, train: loss=0.0236, val: psnr=35.9277, 1.7m 30.0m/5.9h
epoch 18/200, train: loss=0.0232, val: psnr=35.3250, 1.8m 31.8m/5.9h
epoch 19/200, train: loss=0.0234, val: psnr=35.3550, 1.7m 33.5m/5.9h
epoch 20/200, train: loss=0.0230, val: psnr=36.0046, 1.7m 35.2m/5.9h
epoch 21/200, train: loss=0.0236, val: psnr=36.2056, 1.7m 36.9m/5.9h
epoch 22/200, train: loss=0.0227, val: psnr=36.1390, 1.6m 38.5m/5.8h
epoch 23/200, train: loss=0.0234, val: psnr=36.0746, 1.8m 40.3m/5.8h
epoch 24/200, train: loss=0.0230, val: psnr=36.0739, 1.7m 42.0m/5.8h
epoch 25/200, train: loss=0.0230, val: psnr=36.2991, 1.7m 43.7m/5.8h
epoch 26/200, train: loss=0.0233, val: psnr=35.9476, 1.7m 45.4m/5.8h
epoch 27/200, train: loss=0.0230, val: psnr=36.0931, 1.7m 47.1m/5.8h
epoch 28/200, train: loss=0.0230, val: psnr=36.0534, 1.8m 48.9m/5.8h
epoch 29/200, train: loss=0.0228, val: psnr=35.8228, 1.7m 50.6m/5.8h
epoch 30/200, train: loss=0.0229, val: psnr=36.3579, 1.7m 52.3m/5.8h
epoch 31/200, train: loss=0.0222, val: psnr=36.4993, 1.7m 54.1m/5.8h
epoch 32/200, train: loss=0.0234, val: psnr=36.1890, 1.8m 55.9m/5.8h
epoch 33/200, train: loss=0.0225, val: psnr=36.3807, 1.8m 57.6m/5.8h
epoch 34/200, train: loss=0.0224, val: psnr=36.1990, 1.8m 59.4m/5.8h
epoch 35/200, train: loss=0.0224, val: psnr=36.3803, 1.7m 1.0h/5.8h
epoch 36/200, train: loss=0.0221, val: psnr=36.7677, 1.7m 1.0h/5.8h
epoch 37/200, train: loss=0.0221, val: psnr=36.4692, 1.7m 1.1h/5.8h
epoch 38/200, train: loss=0.0224, val: psnr=36.4917, 1.7m 1.1h/5.8h
epoch 39/200, train: loss=0.0225, val: psnr=36.6901, 1.8m 1.1h/5.8h
epoch 40/200, train: loss=0.0220, val: psnr=36.6131, 1.8m 1.2h/5.8h
epoch 41/200, train: loss=0.0217, val: psnr=36.6872, 1.7m 1.2h/5.8h
epoch 42/200, train: loss=0.0218, val: psnr=36.8209, 1.7m 1.2h/5.8h
epoch 43/200, train: loss=0.0221, val: psnr=36.7397, 1.7m 1.2h/5.8h
epoch 44/200, train: loss=0.0219, val: psnr=36.5338, 1.7m 1.3h/5.8h
epoch 45/200, train: loss=0.0218, val: psnr=36.9463, 1.7m 1.3h/5.8h
epoch 46/200, train: loss=0.0216, val: psnr=36.8175, 1.7m 1.3h/5.8h
epoch 47/200, train: loss=0.0216, val: psnr=36.4231, 1.7m 1.4h/5.8h
epoch 48/200, train: loss=0.0221, val: psnr=36.4993, 1.6m 1.4h/5.8h
epoch 49/200, train: loss=0.0216, val: psnr=36.4650, 1.7m 1.4h/5.8h
epoch 50/200, train: loss=0.0217, val: psnr=36.5982, 1.8m 1.4h/5.8h
epoch 51/200, train: loss=0.0219, val: psnr=36.7607, 1.7m 1.5h/5.8h
epoch 52/200, train: loss=0.0219, val: psnr=36.8134, 1.7m 1.5h/5.8h
epoch 53/200, train: loss=0.0217, val: psnr=36.9279, 1.7m 1.5h/5.8h
epoch 54/200, train: loss=0.0219, val: psnr=36.6883, 1.7m 1.6h/5.8h
epoch 55/200, train: loss=0.0216, val: psnr=36.7787, 1.8m 1.6h/5.8h
epoch 56/200, train: loss=0.0220, val: psnr=36.7640, 1.7m 1.6h/5.8h
