train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=605.5K
epoch 1/200, train: loss=0.0919, val: psnr=28.5523, 1.1m 1.1m/3.8h
epoch 2/200, train: loss=0.0422, val: psnr=30.4046, 1.1m 2.2m/3.7h
epoch 3/200, train: loss=0.0370, val: psnr=31.9011, 1.1m 3.4m/3.8h
epoch 4/200, train: loss=0.0333, val: psnr=32.9980, 1.6m 4.9m/4.1h
epoch 5/200, train: loss=0.0315, val: psnr=32.7504, 1.6m 6.6m/4.4h
epoch 6/200, train: loss=0.0304, val: psnr=33.8818, 1.6m 8.2m/4.6h
epoch 7/200, train: loss=0.0288, val: psnr=28.9090, 1.5m 9.7m/4.6h
epoch 8/200, train: loss=0.0289, val: psnr=34.5077, 1.3m 11.0m/4.6h
epoch 9/200, train: loss=0.0279, val: psnr=34.7392, 1.2m 12.2m/4.5h
epoch 10/200, train: loss=0.0270, val: psnr=34.6575, 1.6m 13.8m/4.6h
epoch 11/200, train: loss=0.0265, val: psnr=34.1218, 1.6m 15.4m/4.7h
epoch 12/200, train: loss=0.0268, val: psnr=34.9749, 1.3m 16.8m/4.7h
epoch 13/200, train: loss=0.0259, val: psnr=34.8225, 1.1m 17.8m/4.6h
epoch 14/200, train: loss=0.0259, val: psnr=34.7855, 1.4m 19.2m/4.6h
epoch 15/200, train: loss=0.0253, val: psnr=35.5837, 1.5m 20.7m/4.6h
epoch 16/200, train: loss=0.0246, val: psnr=35.5344, 1.4m 22.2m/4.6h
epoch 17/200, train: loss=0.0248, val: psnr=34.1976, 1.1m 23.2m/4.6h
epoch 18/200, train: loss=0.0242, val: psnr=35.3199, 1.3m 24.6m/4.5h
epoch 19/200, train: loss=0.0238, val: psnr=35.1871, 1.6m 26.1m/4.6h
epoch 20/200, train: loss=0.0239, val: psnr=35.5705, 1.6m 27.7m/4.6h
epoch 21/200, train: loss=0.0241, val: psnr=35.6262, 1.3m 29.0m/4.6h
epoch 22/200, train: loss=0.0237, val: psnr=35.9182, 1.3m 30.2m/4.6h
epoch 23/200, train: loss=0.0239, val: psnr=36.1508, 1.4m 31.6m/4.6h
epoch 24/200, train: loss=0.0233, val: psnr=36.0452, 1.5m 33.1m/4.6h
epoch 25/200, train: loss=0.0232, val: psnr=35.3787, 1.6m 34.7m/4.6h
epoch 26/200, train: loss=0.0238, val: psnr=34.9880, 1.4m 36.1m/4.6h
epoch 27/200, train: loss=0.0232, val: psnr=35.7503, 1.3m 37.4m/4.6h
epoch 28/200, train: loss=0.0230, val: psnr=36.2743, 1.3m 38.8m/4.6h
epoch 29/200, train: loss=0.0233, val: psnr=35.4784, 1.4m 40.2m/4.6h
epoch 30/200, train: loss=0.0228, val: psnr=36.3778, 1.5m 41.6m/4.6h
epoch 31/200, train: loss=0.0231, val: psnr=36.3519, 1.6m 43.3m/4.7h
epoch 32/200, train: loss=0.0236, val: psnr=36.3107, 1.6m 44.9m/4.7h
epoch 33/200, train: loss=0.0231, val: psnr=36.1679, 1.5m 46.4m/4.7h
epoch 34/200, train: loss=0.0229, val: psnr=35.8638, 1.4m 47.8m/4.7h
epoch 35/200, train: loss=0.0226, val: psnr=35.9601, 1.2m 49.0m/4.7h
epoch 36/200, train: loss=0.0231, val: psnr=36.5856, 1.3m 50.3m/4.7h
epoch 37/200, train: loss=0.0231, val: psnr=36.2160, 1.6m 51.9m/4.7h
epoch 38/200, train: loss=0.0223, val: psnr=36.2767, 1.6m 53.4m/4.7h
epoch 39/200, train: loss=0.0225, val: psnr=36.5517, 1.4m 54.8m/4.7h
epoch 40/200, train: loss=0.0225, val: psnr=34.7625, 1.2m 56.0m/4.7h
epoch 41/200, train: loss=0.0223, val: psnr=36.5119, 1.3m 57.3m/4.7h
epoch 42/200, train: loss=0.0221, val: psnr=36.2978, 1.6m 58.9m/4.7h
epoch 43/200, train: loss=0.0221, val: psnr=36.5577, 1.6m 1.0h/4.7h
epoch 44/200, train: loss=0.0222, val: psnr=36.2680, 1.3m 1.0h/4.7h
epoch 45/200, train: loss=0.0222, val: psnr=36.8401, 1.1m 1.0h/4.7h
epoch 46/200, train: loss=0.0223, val: psnr=36.5812, 1.4m 1.1h/4.7h
epoch 47/200, train: loss=0.0220, val: psnr=36.4073, 1.5m 1.1h/4.7h
epoch 48/200, train: loss=0.0221, val: psnr=36.5881, 1.4m 1.1h/4.7h
epoch 49/200, train: loss=0.0219, val: psnr=36.4352, 1.1m 1.1h/4.6h
epoch 50/200, train: loss=0.0219, val: psnr=36.7731, 1.3m 1.2h/4.6h
epoch 51/200, train: loss=0.0220, val: psnr=36.7688, 1.6m 1.2h/4.6h
epoch 52/200, train: loss=0.0222, val: psnr=36.6564, 1.6m 1.2h/4.7h
epoch 53/200, train: loss=0.0222, val: psnr=36.3820, 1.3m 1.2h/4.7h
epoch 54/200, train: loss=0.0220, val: psnr=36.6505, 1.2m 1.3h/4.6h
epoch 55/200, train: loss=0.0220, val: psnr=36.6440, 1.4m 1.3h/4.6h
epoch 56/200, train: loss=0.0219, val: psnr=36.8282, 1.5m 1.3h/4.6h
epoch 57/200, train: loss=0.0219, val: psnr=36.4133, 1.5m 1.3h/4.7h
epoch 58/200, train: loss=0.0219, val: psnr=36.5108, 1.5m 1.4h/4.7h
epoch 59/200, train: loss=0.0218, val: psnr=36.7224, 1.3m 1.4h/4.7h
epoch 60/200, train: loss=0.0219, val: psnr=36.8932, 1.3m 1.4h/4.7h
