train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=531.6K
epoch 1/200, train: loss=0.0793, val: psnr=29.0439, 1.2m 1.2m/3.9h
epoch 2/200, train: loss=0.0442, val: psnr=31.0261, 1.1m 2.2m/3.7h
epoch 3/200, train: loss=0.0398, val: psnr=31.7147, 1.4m 3.7m/4.1h
epoch 4/200, train: loss=0.0372, val: psnr=31.7865, 1.5m 5.1m/4.3h
epoch 5/200, train: loss=0.0357, val: psnr=32.6626, 1.8m 6.9m/4.6h
epoch 6/200, train: loss=0.0343, val: psnr=32.6422, 2.1m 9.0m/5.0h
epoch 7/200, train: loss=0.0342, val: psnr=33.4127, 2.2m 11.2m/5.3h
epoch 8/200, train: loss=0.0328, val: psnr=33.3051, 2.2m 13.4m/5.6h
epoch 9/200, train: loss=0.0335, val: psnr=32.5695, 2.1m 15.5m/5.7h
epoch 10/200, train: loss=0.0320, val: psnr=33.3589, 2.1m 17.6m/5.9h
epoch 11/200, train: loss=0.0322, val: psnr=33.8176, 2.1m 19.7m/6.0h
epoch 12/200, train: loss=0.0313, val: psnr=33.7564, 2.1m 21.8m/6.1h
epoch 13/200, train: loss=0.0313, val: psnr=33.7473, 2.1m 23.9m/6.1h
epoch 14/200, train: loss=0.0306, val: psnr=33.6097, 2.1m 26.0m/6.2h
epoch 15/200, train: loss=0.0308, val: psnr=33.8572, 2.1m 28.0m/6.2h
epoch 16/200, train: loss=0.0301, val: psnr=34.7784, 2.0m 30.1m/6.3h
epoch 17/200, train: loss=0.0308, val: psnr=33.3751, 2.0m 32.1m/6.3h
epoch 18/200, train: loss=0.0295, val: psnr=34.0293, 2.0m 34.1m/6.3h
epoch 19/200, train: loss=0.0292, val: psnr=34.1813, 2.0m 36.1m/6.3h
epoch 20/200, train: loss=0.0298, val: psnr=34.4829, 2.1m 38.2m/6.4h
epoch 21/200, train: loss=0.0294, val: psnr=34.2383, 2.2m 40.4m/6.4h
epoch 22/200, train: loss=0.0287, val: psnr=34.2094, 2.3m 42.7m/6.5h
epoch 23/200, train: loss=0.0293, val: psnr=34.1797, 2.3m 45.0m/6.5h
epoch 24/200, train: loss=0.0288, val: psnr=34.3350, 2.3m 47.3m/6.6h
epoch 25/200, train: loss=0.0287, val: psnr=34.7206, 2.3m 49.6m/6.6h
epoch 26/200, train: loss=0.0286, val: psnr=34.6172, 2.2m 51.8m/6.6h
epoch 27/200, train: loss=0.0285, val: psnr=34.3735, 2.2m 54.0m/6.7h
epoch 28/200, train: loss=0.0282, val: psnr=34.7747, 2.2m 56.2m/6.7h
epoch 29/200, train: loss=0.0281, val: psnr=35.0211, 2.0m 58.2m/6.7h
epoch 30/200, train: loss=0.0281, val: psnr=34.9474, 1.6m 59.8m/6.6h
epoch 31/200, train: loss=0.0283, val: psnr=34.6518, 1.6m 1.0h/6.6h
epoch 32/200, train: loss=0.0277, val: psnr=35.2299, 1.9m 1.1h/6.6h
epoch 33/200, train: loss=0.0275, val: psnr=35.2865, 2.2m 1.1h/6.6h
epoch 34/200, train: loss=0.0274, val: psnr=35.1648, 2.2m 1.1h/6.6h
epoch 35/200, train: loss=0.0277, val: psnr=35.4246, 2.2m 1.2h/6.7h
epoch 36/200, train: loss=0.0274, val: psnr=34.9339, 2.1m 1.2h/6.7h
epoch 37/200, train: loss=0.0274, val: psnr=35.1418, 2.0m 1.2h/6.7h
epoch 38/200, train: loss=0.0271, val: psnr=35.0088, 1.8m 1.3h/6.7h
epoch 39/200, train: loss=0.0273, val: psnr=35.3132, 1.7m 1.3h/6.6h
epoch 40/200, train: loss=0.0271, val: psnr=35.6775, 2.0m 1.3h/6.6h
epoch 41/200, train: loss=0.0269, val: psnr=35.5732, 2.2m 1.4h/6.6h
epoch 42/200, train: loss=0.0270, val: psnr=35.1126, 2.3m 1.4h/6.7h
epoch 43/200, train: loss=0.0271, val: psnr=35.6640, 2.2m 1.4h/6.7h
epoch 44/200, train: loss=0.0266, val: psnr=35.7841, 2.2m 1.5h/6.7h
epoch 45/200, train: loss=0.0265, val: psnr=35.3186, 2.2m 1.5h/6.7h
epoch 46/200, train: loss=0.0265, val: psnr=35.2749, 2.2m 1.5h/6.7h
epoch 47/200, train: loss=0.0264, val: psnr=35.5699, 2.1m 1.6h/6.7h
epoch 48/200, train: loss=0.0265, val: psnr=35.4204, 2.0m 1.6h/6.7h
epoch 49/200, train: loss=0.0264, val: psnr=35.2338, 2.0m 1.6h/6.7h
epoch 50/200, train: loss=0.0260, val: psnr=35.5273, 1.9m 1.7h/6.7h
epoch 51/200, train: loss=0.0263, val: psnr=35.5046, 1.9m 1.7h/6.7h
epoch 52/200, train: loss=0.0264, val: psnr=35.5932, 1.9m 1.7h/6.7h
epoch 53/200, train: loss=0.0265, val: psnr=35.5569, 2.0m 1.8h/6.7h
epoch 54/200, train: loss=0.0262, val: psnr=35.5801, 2.3m 1.8h/6.7h
epoch 55/200, train: loss=0.0262, val: psnr=35.6333, 2.3m 1.9h/6.7h
epoch 56/200, train: loss=0.0260, val: psnr=35.6979, 2.3m 1.9h/6.8h
epoch 57/200, train: loss=0.0261, val: psnr=35.8119, 2.3m 1.9h/6.8h
epoch 58/200, train: loss=0.0261, val: psnr=35.6352, 2.3m 2.0h/6.8h
epoch 59/200, train: loss=0.0262, val: psnr=35.3858, 2.2m 2.0h/6.8h
epoch 60/200, train: loss=0.0262, val: psnr=35.6128, 2.2m 2.0h/6.8h
epoch 61/200, train: loss=0.0260, val: psnr=35.3277, 2.1m 2.1h/6.8h
