train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=531.6K
epoch 1/200, train: loss=0.0915, val: psnr=25.6255, 1.6m 1.6m/5.2h
epoch 2/200, train: loss=0.0502, val: psnr=25.9200, 1.4m 3.0m/4.9h
epoch 3/200, train: loss=0.0447, val: psnr=26.1641, 1.8m 4.8m/5.3h
epoch 4/200, train: loss=0.0414, val: psnr=27.0077, 2.1m 6.9m/5.8h
epoch 5/200, train: loss=0.0394, val: psnr=27.6266, 2.3m 9.2m/6.1h
epoch 6/200, train: loss=0.0374, val: psnr=28.0991, 2.2m 11.4m/6.3h
epoch 7/200, train: loss=0.0366, val: psnr=28.3924, 2.2m 13.5m/6.5h
epoch 8/200, train: loss=0.0366, val: psnr=28.3712, 2.2m 15.7m/6.6h
epoch 9/200, train: loss=0.0348, val: psnr=28.2433, 2.2m 17.9m/6.6h
epoch 10/200, train: loss=0.0343, val: psnr=28.7127, 2.2m 20.1m/6.7h
epoch 11/200, train: loss=0.0341, val: psnr=28.8545, 2.2m 22.3m/6.8h
epoch 12/200, train: loss=0.0334, val: psnr=29.0039, 2.2m 24.5m/6.8h
epoch 13/200, train: loss=0.0335, val: psnr=27.7866, 2.2m 26.7m/6.9h
epoch 14/200, train: loss=0.0326, val: psnr=28.5077, 2.2m 29.0m/6.9h
epoch 15/200, train: loss=0.0334, val: psnr=28.2880, 2.2m 31.2m/6.9h
epoch 16/200, train: loss=0.0323, val: psnr=28.5441, 2.3m 33.5m/7.0h
epoch 17/200, train: loss=0.0323, val: psnr=28.2318, 2.3m 35.7m/7.0h
epoch 18/200, train: loss=0.0321, val: psnr=28.6936, 2.3m 38.0m/7.0h
epoch 19/200, train: loss=0.0321, val: psnr=28.0194, 2.2m 40.2m/7.1h
epoch 20/200, train: loss=0.0320, val: psnr=28.6616, 2.1m 42.4m/7.1h
epoch 21/200, train: loss=0.0314, val: psnr=28.5641, 1.8m 44.1m/7.0h
epoch 22/200, train: loss=0.0317, val: psnr=28.9722, 1.6m 45.7m/6.9h
epoch 23/200, train: loss=0.0317, val: psnr=29.1311, 1.9m 47.6m/6.9h
epoch 24/200, train: loss=0.0310, val: psnr=28.6241, 2.2m 49.7m/6.9h
epoch 25/200, train: loss=0.0309, val: psnr=28.4227, 2.2m 52.0m/6.9h
epoch 26/200, train: loss=0.0312, val: psnr=27.9002, 2.3m 54.2m/7.0h
epoch 27/200, train: loss=0.0310, val: psnr=28.4708, 2.3m 56.5m/7.0h
epoch 28/200, train: loss=0.0310, val: psnr=28.4528, 2.3m 58.8m/7.0h
epoch 29/200, train: loss=0.0308, val: psnr=28.4435, 2.2m 1.0h/7.0h
