train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=531.6K
epoch 1/200, train: loss=0.0802, val: psnr=29.3779, 47.9s 47.9s/2.7h
epoch 2/200, train: loss=0.0412, val: psnr=31.3025, 44.2s 1.5m/2.6h
epoch 3/200, train: loss=0.0375, val: psnr=32.2365, 44.8s 2.3m/2.5h
epoch 4/200, train: loss=0.0346, val: psnr=32.1688, 45.0s 3.0m/2.5h
epoch 5/200, train: loss=0.0352, val: psnr=32.7262, 44.6s 3.8m/2.5h
epoch 6/200, train: loss=0.0333, val: psnr=32.4980, 1.1m 4.8m/2.7h
epoch 7/200, train: loss=0.0330, val: psnr=32.3078, 1.1m 5.9m/2.8h
epoch 8/200, train: loss=0.0325, val: psnr=33.3683, 1.1m 7.0m/2.9h
epoch 9/200, train: loss=0.0326, val: psnr=33.4829, 1.1m 8.1m/3.0h
epoch 10/200, train: loss=0.0322, val: psnr=33.5424, 1.1m 9.2m/3.1h
epoch 11/200, train: loss=0.0317, val: psnr=33.3673, 1.1m 10.4m/3.1h
epoch 12/200, train: loss=0.0317, val: psnr=33.8142, 1.1m 11.5m/3.2h
epoch 13/200, train: loss=0.0316, val: psnr=33.3473, 1.2m 12.7m/3.3h
epoch 14/200, train: loss=0.0317, val: psnr=33.6333, 1.2m 13.9m/3.3h
epoch 15/200, train: loss=0.0311, val: psnr=34.0039, 1.2m 15.0m/3.3h
epoch 16/200, train: loss=0.0314, val: psnr=33.4583, 1.2m 16.2m/3.4h
epoch 17/200, train: loss=0.0315, val: psnr=33.4576, 1.2m 17.3m/3.4h
epoch 18/200, train: loss=0.0312, val: psnr=33.8523, 1.2m 18.5m/3.4h
epoch 19/200, train: loss=0.0313, val: psnr=32.8867, 1.2m 19.7m/3.5h
epoch 20/200, train: loss=0.0311, val: psnr=33.6209, 1.2m 20.8m/3.5h
epoch 21/200, train: loss=0.0314, val: psnr=33.7592, 1.2m 22.0m/3.5h
epoch 22/200, train: loss=0.0308, val: psnr=33.4188, 1.2m 23.2m/3.5h
epoch 23/200, train: loss=0.0308, val: psnr=33.5473, 1.2m 24.3m/3.5h
