train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=531.6K
epoch 1/200, train: loss=0.0887, val: psnr=28.9658, 2.0m 2.0m/6.8h
epoch 2/200, train: loss=0.0444, val: psnr=29.9431, 2.1m 4.1m/6.9h
epoch 3/200, train: loss=0.0413, val: psnr=31.1727, 2.2m 6.3m/7.0h
epoch 4/200, train: loss=0.0394, val: psnr=31.0475, 2.2m 8.5m/7.1h
epoch 5/200, train: loss=0.0379, val: psnr=31.5040, 2.1m 10.7m/7.1h
epoch 6/200, train: loss=0.0373, val: psnr=31.7308, 2.1m 12.8m/7.1h
epoch 7/200, train: loss=0.0369, val: psnr=32.1213, 2.1m 14.9m/7.1h
epoch 8/200, train: loss=0.0368, val: psnr=31.4644, 2.1m 17.0m/7.1h
epoch 9/200, train: loss=0.0364, val: psnr=31.9533, 2.1m 19.1m/7.1h
epoch 10/200, train: loss=0.0359, val: psnr=32.4372, 2.1m 21.2m/7.1h
epoch 11/200, train: loss=0.0353, val: psnr=31.9084, 2.0m 23.2m/7.0h
epoch 12/200, train: loss=0.0359, val: psnr=32.5389, 2.0m 25.3m/7.0h
epoch 13/200, train: loss=0.0351, val: psnr=32.1295, 2.0m 27.3m/7.0h
epoch 14/200, train: loss=0.0355, val: psnr=32.7677, 2.0m 29.3m/7.0h
epoch 15/200, train: loss=0.0349, val: psnr=32.4407, 1.9m 31.2m/6.9h
epoch 16/200, train: loss=0.0352, val: psnr=32.6724, 2.0m 33.3m/6.9h
epoch 17/200, train: loss=0.0346, val: psnr=32.7229, 2.2m 35.5m/7.0h
epoch 18/200, train: loss=0.0347, val: psnr=33.0950, 2.3m 37.8m/7.0h
epoch 19/200, train: loss=0.0345, val: psnr=33.2835, 2.3m 40.0m/7.0h
epoch 20/200, train: loss=0.0343, val: psnr=32.4522, 2.3m 42.3m/7.1h
epoch 21/200, train: loss=0.0340, val: psnr=32.1111, 2.3m 44.6m/7.1h
epoch 22/200, train: loss=0.0340, val: psnr=33.1257, 2.2m 46.8m/7.1h
