train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=531.6K
epoch 1/200, train: loss=0.0847, val: psnr=25.7526, 2.3m 2.3m/7.7h
epoch 2/200, train: loss=0.0488, val: psnr=25.9224, 2.1m 4.4m/7.4h
epoch 3/200, train: loss=0.0444, val: psnr=26.7051, 2.1m 6.6m/7.3h
epoch 4/200, train: loss=0.0430, val: psnr=26.5222, 2.2m 8.8m/7.3h
epoch 5/200, train: loss=0.0414, val: psnr=26.8702, 2.2m 10.9m/7.3h
epoch 6/200, train: loss=0.0408, val: psnr=26.9969, 2.2m 13.1m/7.3h
epoch 7/200, train: loss=0.0402, val: psnr=27.0540, 2.1m 15.2m/7.3h
epoch 8/200, train: loss=0.0393, val: psnr=26.6491, 2.2m 17.4m/7.3h
epoch 9/200, train: loss=0.0394, val: psnr=26.8544, 2.2m 19.6m/7.3h
epoch 10/200, train: loss=0.0388, val: psnr=26.3575, 2.2m 21.8m/7.3h
epoch 11/200, train: loss=0.0389, val: psnr=27.2281, 2.2m 23.9m/7.2h
epoch 12/200, train: loss=0.0382, val: psnr=26.8744, 2.2m 26.1m/7.2h
epoch 13/200, train: loss=0.0383, val: psnr=27.1709, 2.2m 28.3m/7.3h
epoch 14/200, train: loss=0.0385, val: psnr=26.6717, 2.2m 30.5m/7.3h
epoch 15/200, train: loss=0.0374, val: psnr=26.7183, 2.3m 32.8m/7.3h
epoch 16/200, train: loss=0.0375, val: psnr=27.4947, 2.3m 35.1m/7.3h
epoch 17/200, train: loss=0.0376, val: psnr=27.5207, 2.3m 37.4m/7.3h
epoch 18/200, train: loss=0.0374, val: psnr=27.4781, 2.3m 39.7m/7.4h
epoch 19/200, train: loss=0.0378, val: psnr=27.7614, 2.3m 42.0m/7.4h
epoch 20/200, train: loss=0.0369, val: psnr=27.6012, 2.3m 44.3m/7.4h
epoch 21/200, train: loss=0.0372, val: psnr=27.7210, 2.3m 46.6m/7.4h
epoch 22/200, train: loss=0.0367, val: psnr=27.7995, 2.3m 48.8m/7.4h
epoch 23/200, train: loss=0.0367, val: psnr=28.4506, 2.3m 51.1m/7.4h
epoch 24/200, train: loss=0.0369, val: psnr=28.7067, 2.3m 53.4m/7.4h
epoch 25/200, train: loss=0.0366, val: psnr=28.2564, 2.3m 55.7m/7.4h
epoch 26/200, train: loss=0.0362, val: psnr=28.4153, 2.3m 58.0m/7.4h
epoch 27/200, train: loss=0.0368, val: psnr=28.5403, 2.3m 1.0h/7.4h
epoch 28/200, train: loss=0.0360, val: psnr=28.4428, 2.3m 1.0h/7.4h
epoch 29/200, train: loss=0.0361, val: psnr=28.7073, 2.3m 1.1h/7.5h
epoch 30/200, train: loss=0.0365, val: psnr=28.1441, 2.2m 1.1h/7.5h
epoch 31/200, train: loss=0.0359, val: psnr=28.8370, 2.3m 1.2h/7.5h
epoch 32/200, train: loss=0.0361, val: psnr=29.0066, 2.2m 1.2h/7.5h
epoch 33/200, train: loss=0.0359, val: psnr=28.9344, 1.9m 1.2h/7.4h
epoch 34/200, train: loss=0.0363, val: psnr=29.1413, 1.6m 1.3h/7.4h
epoch 35/200, train: loss=0.0362, val: psnr=29.4807, 1.8m 1.3h/7.3h
epoch 36/200, train: loss=0.0354, val: psnr=28.7193, 2.1m 1.3h/7.3h
epoch 37/200, train: loss=0.0356, val: psnr=29.0592, 2.2m 1.4h/7.3h
epoch 38/200, train: loss=0.0358, val: psnr=29.1167, 2.2m 1.4h/7.3h
epoch 39/200, train: loss=0.0357, val: psnr=29.7152, 2.3m 1.4h/7.3h
epoch 40/200, train: loss=0.0354, val: psnr=29.7515, 2.2m 1.5h/7.3h
epoch 41/200, train: loss=0.0351, val: psnr=29.7623, 2.3m 1.5h/7.3h
epoch 42/200, train: loss=0.0351, val: psnr=29.7536, 2.3m 1.5h/7.3h
epoch 43/200, train: loss=0.0354, val: psnr=29.8588, 2.3m 1.6h/7.3h
epoch 44/200, train: loss=0.0351, val: psnr=29.6633, 2.2m 1.6h/7.3h
epoch 45/200, train: loss=0.0352, val: psnr=29.8079, 2.2m 1.7h/7.3h
epoch 46/200, train: loss=0.0353, val: psnr=30.1298, 2.3m 1.7h/7.3h
epoch 47/200, train: loss=0.0348, val: psnr=29.9881, 2.3m 1.7h/7.4h
epoch 48/200, train: loss=0.0353, val: psnr=30.1911, 2.3m 1.8h/7.4h
epoch 49/200, train: loss=0.0349, val: psnr=30.4548, 2.3m 1.8h/7.4h
epoch 50/200, train: loss=0.0351, val: psnr=30.1146, 2.3m 1.8h/7.4h
epoch 51/200, train: loss=0.0348, val: psnr=30.1520, 2.2m 1.9h/7.4h
epoch 52/200, train: loss=0.0348, val: psnr=30.1930, 2.3m 1.9h/7.4h
epoch 53/200, train: loss=0.0348, val: psnr=30.4492, 2.3m 2.0h/7.4h
epoch 54/200, train: loss=0.0348, val: psnr=30.4268, 2.3m 2.0h/7.4h
epoch 55/200, train: loss=0.0351, val: psnr=30.5916, 2.3m 2.0h/7.4h
epoch 56/200, train: loss=0.0349, val: psnr=30.3123, 2.2m 2.1h/7.4h
epoch 57/200, train: loss=0.0344, val: psnr=30.5256, 2.2m 2.1h/7.4h
epoch 58/200, train: loss=0.0351, val: psnr=30.4915, 2.2m 2.1h/7.4h
epoch 59/200, train: loss=0.0349, val: psnr=30.2370, 2.1m 2.2h/7.4h
epoch 60/200, train: loss=0.0349, val: psnr=30.4796, 1.9m 2.2h/7.4h
epoch 61/200, train: loss=0.0349, val: psnr=30.4685, 1.8m 2.2h/7.4h
epoch 62/200, train: loss=0.0344, val: psnr=30.5938, 1.9m 2.3h/7.3h
epoch 63/200, train: loss=0.0345, val: psnr=30.6340, 2.0m 2.3h/7.3h
epoch 64/200, train: loss=0.0344, val: psnr=29.6834, 2.1m 2.3h/7.3h
epoch 65/200, train: loss=0.0347, val: psnr=30.1540, 2.1m 2.4h/7.3h
epoch 66/200, train: loss=0.0345, val: psnr=30.2883, 2.1m 2.4h/7.3h
epoch 67/200, train: loss=0.0345, val: psnr=30.3987, 2.1m 2.4h/7.3h
epoch 68/200, train: loss=0.0347, val: psnr=30.4615, 2.2m 2.5h/7.3h
epoch 69/200, train: loss=0.0344, val: psnr=30.3907, 2.2m 2.5h/7.3h
epoch 70/200, train: loss=0.0345, val: psnr=30.2579, 2.2m 2.6h/7.3h
epoch 71/200, train: loss=0.0343, val: psnr=30.0390, 2.3m 2.6h/7.3h
epoch 72/200, train: loss=0.0345, val: psnr=30.3801, 2.3m 2.6h/7.3h
epoch 73/200, train: loss=0.0347, val: psnr=30.3112, 2.2m 2.7h/7.3h
epoch 74/200, train: loss=0.0344, val: psnr=29.7368, 2.2m 2.7h/7.3h
epoch 75/200, train: loss=0.0344, val: psnr=30.2390, 2.2m 2.7h/7.3h
epoch 76/200, train: loss=0.0346, val: psnr=30.0524, 2.3m 2.8h/7.3h
epoch 77/200, train: loss=0.0344, val: psnr=30.4093, 2.3m 2.8h/7.3h
epoch 78/200, train: loss=0.0345, val: psnr=30.3382, 2.3m 2.9h/7.3h
epoch 79/200, train: loss=0.0341, val: psnr=30.1725, 2.3m 2.9h/7.3h
epoch 80/200, train: loss=0.0346, val: psnr=30.3804, 2.3m 2.9h/7.3h
epoch 81/200, train: loss=0.0343, val: psnr=30.3307, 2.2m 3.0h/7.3h
epoch 82/200, train: loss=0.0340, val: psnr=30.4492, 2.2m 3.0h/7.3h
epoch 83/200, train: loss=0.0344, val: psnr=30.4963, 2.3m 3.0h/7.3h
epoch 84/200, train: loss=0.0340, val: psnr=30.2591, 2.3m 3.1h/7.4h
epoch 85/200, train: loss=0.0341, val: psnr=30.4282, 2.3m 3.1h/7.4h
epoch 86/200, train: loss=0.0338, val: psnr=30.4501, 2.2m 3.2h/7.4h
epoch 87/200, train: loss=0.0341, val: psnr=30.3005, 2.3m 3.2h/7.4h
epoch 88/200, train: loss=0.0342, val: psnr=30.5313, 2.3m 3.2h/7.4h
epoch 89/200, train: loss=0.0339, val: psnr=30.6234, 2.2m 3.3h/7.4h
epoch 90/200, train: loss=0.0340, val: psnr=30.4849, 2.0m 3.3h/7.4h
epoch 91/200, train: loss=0.0340, val: psnr=30.2409, 1.2m 3.3h/7.3h
epoch 92/200, train: loss=0.0342, val: psnr=30.3464, 1.9m 3.4h/7.3h
epoch 93/200, train: loss=0.0342, val: psnr=30.7410, 2.2m 3.4h/7.3h
epoch 94/200, train: loss=0.0340, val: psnr=30.8160, 2.3m 3.4h/7.3h
epoch 95/200, train: loss=0.0341, val: psnr=30.6494, 2.3m 3.5h/7.3h
epoch 96/200, train: loss=0.0340, val: psnr=30.8353, 2.3m 3.5h/7.3h
epoch 97/200, train: loss=0.0339, val: psnr=30.3548, 2.3m 3.6h/7.3h
epoch 98/200, train: loss=0.0340, val: psnr=30.7487, 2.3m 3.6h/7.3h
epoch 99/200, train: loss=0.0337, val: psnr=30.7088, 2.3m 3.6h/7.3h
epoch 100/200, train: loss=0.0338, val: psnr=30.6549, 2.3m 3.7h/7.3h
epoch 101/200, train: loss=0.0340, val: psnr=30.8250, 2.3m 3.7h/7.3h
epoch 102/200, train: loss=0.0341, val: psnr=30.4974, 2.3m 3.7h/7.3h
epoch 103/200, train: loss=0.0337, val: psnr=30.6365, 2.3m 3.8h/7.3h
epoch 104/200, train: loss=0.0343, val: psnr=30.6561, 2.3m 3.8h/7.3h
epoch 105/200, train: loss=0.0341, val: psnr=30.7153, 2.2m 3.9h/7.3h
epoch 106/200, train: loss=0.0335, val: psnr=30.6172, 2.3m 3.9h/7.3h
epoch 107/200, train: loss=0.0338, val: psnr=30.6777, 2.3m 3.9h/7.3h
epoch 108/200, train: loss=0.0341, val: psnr=30.7122, 2.3m 4.0h/7.4h
epoch 109/200, train: loss=0.0340, val: psnr=30.6686, 2.3m 4.0h/7.4h
epoch 110/200, train: loss=0.0339, val: psnr=30.8228, 2.3m 4.0h/7.4h
epoch 111/200, train: loss=0.0338, val: psnr=30.5602, 2.3m 4.1h/7.4h
epoch 112/200, train: loss=0.0340, val: psnr=30.4903, 2.3m 4.1h/7.4h
epoch 113/200, train: loss=0.0339, val: psnr=30.6238, 2.3m 4.2h/7.4h
epoch 114/200, train: loss=0.0339, val: psnr=30.5249, 2.3m 4.2h/7.4h
epoch 115/200, train: loss=0.0338, val: psnr=30.7251, 2.3m 4.2h/7.4h
epoch 116/200, train: loss=0.0336, val: psnr=30.6562, 2.3m 4.3h/7.4h
epoch 117/200, train: loss=0.0338, val: psnr=30.5791, 2.3m 4.3h/7.4h
epoch 118/200, train: loss=0.0338, val: psnr=30.4483, 2.3m 4.4h/7.4h
epoch 119/200, train: loss=0.0337, val: psnr=30.8510, 2.3m 4.4h/7.4h
epoch 120/200, train: loss=0.0339, val: psnr=30.7792, 2.3m 4.4h/7.4h
epoch 121/200, train: loss=0.0337, val: psnr=30.8029, 2.3m 4.5h/7.4h
epoch 122/200, train: loss=0.0337, val: psnr=30.8541, 2.3m 4.5h/7.4h
epoch 123/200, train: loss=0.0338, val: psnr=30.7016, 2.3m 4.5h/7.4h
epoch 124/200, train: loss=0.0339, val: psnr=30.7412, 2.3m 4.6h/7.4h
epoch 125/200, train: loss=0.0338, val: psnr=30.8406, 2.3m 4.6h/7.4h
epoch 126/200, train: loss=0.0339, val: psnr=31.0372, 2.3m 4.7h/7.4h
