train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=531.6K
epoch 1/1000, train: loss=0.0941, val: psnr=23.9175, 1.2m 1.2m/19.2h
epoch 2/1000, train: loss=0.0504, val: psnr=24.0459, 1.1m 2.3m/18.8h
epoch 3/1000, train: loss=0.0466, val: psnr=25.2600, 1.1m 3.4m/18.7h
epoch 4/1000, train: loss=0.0444, val: psnr=24.8456, 1.1m 4.5m/18.7h
epoch 5/1000, train: loss=0.0424, val: psnr=25.3110, 1.1m 5.6m/18.7h
epoch 6/1000, train: loss=0.0421, val: psnr=25.1747, 1.1m 6.8m/18.8h
epoch 7/1000, train: loss=0.0410, val: psnr=26.1627, 1.2m 7.9m/18.8h
epoch 8/1000, train: loss=0.0409, val: psnr=26.1457, 1.2m 9.1m/18.9h
epoch 9/1000, train: loss=0.0399, val: psnr=26.2107, 1.2m 10.2m/19.0h
epoch 10/1000, train: loss=0.0391, val: psnr=26.5163, 1.2m 11.4m/19.0h
epoch 11/1000, train: loss=0.0394, val: psnr=26.8952, 1.2m 12.6m/19.0h
epoch 12/1000, train: loss=0.0390, val: psnr=26.9813, 1.2m 13.7m/19.1h
epoch 13/1000, train: loss=0.0388, val: psnr=26.9176, 1.2m 14.9m/19.1h
epoch 14/1000, train: loss=0.0381, val: psnr=27.0895, 1.2m 16.1m/19.1h
epoch 15/1000, train: loss=0.0382, val: psnr=26.8862, 1.2m 17.2m/19.1h
epoch 16/1000, train: loss=0.0385, val: psnr=27.1924, 1.2m 18.4m/19.1h
epoch 17/1000, train: loss=0.0372, val: psnr=27.2252, 1.2m 19.5m/19.2h
epoch 18/1000, train: loss=0.0378, val: psnr=27.2577, 1.2m 20.7m/19.2h
epoch 19/1000, train: loss=0.0373, val: psnr=26.8628, 1.2m 21.9m/19.2h
epoch 20/1000, train: loss=0.0372, val: psnr=27.4091, 1.2m 23.0m/19.2h
epoch 21/1000, train: loss=0.0375, val: psnr=27.5022, 1.2m 24.2m/19.2h
epoch 22/1000, train: loss=0.0370, val: psnr=26.8587, 1.2m 25.4m/19.2h
epoch 23/1000, train: loss=0.0369, val: psnr=27.3702, 1.2m 26.5m/19.2h
epoch 24/1000, train: loss=0.0371, val: psnr=27.8824, 1.2m 27.7m/19.2h
epoch 25/1000, train: loss=0.0370, val: psnr=28.1492, 1.2m 28.9m/19.2h
epoch 26/1000, train: loss=0.0365, val: psnr=28.2697, 1.2m 30.0m/19.2h
epoch 27/1000, train: loss=0.0368, val: psnr=28.0093, 1.2m 31.2m/19.2h
epoch 28/1000, train: loss=0.0366, val: psnr=28.1910, 1.1m 32.3m/19.2h
epoch 29/1000, train: loss=0.0366, val: psnr=28.2352, 1.2m 33.5m/19.2h
epoch 30/1000, train: loss=0.0366, val: psnr=27.7048, 1.2m 34.6m/19.2h
epoch 31/1000, train: loss=0.0359, val: psnr=28.5818, 1.2m 35.8m/19.2h
epoch 32/1000, train: loss=0.0361, val: psnr=28.7723, 1.2m 37.0m/19.3h
epoch 33/1000, train: loss=0.0363, val: psnr=28.7288, 1.2m 38.1m/19.3h
epoch 34/1000, train: loss=0.0362, val: psnr=28.5740, 1.2m 39.3m/19.3h
epoch 35/1000, train: loss=0.0358, val: psnr=29.1231, 1.2m 40.5m/19.3h
epoch 36/1000, train: loss=0.0357, val: psnr=29.8848, 1.2m 41.6m/19.3h
epoch 37/1000, train: loss=0.0358, val: psnr=28.6876, 1.2m 42.8m/19.3h
epoch 38/1000, train: loss=0.0359, val: psnr=28.9121, 1.2m 43.9m/19.3h
epoch 39/1000, train: loss=0.0355, val: psnr=29.5426, 1.1m 45.1m/19.3h
epoch 40/1000, train: loss=0.0355, val: psnr=29.2499, 1.1m 46.2m/19.3h
epoch 41/1000, train: loss=0.0354, val: psnr=29.3314, 1.1m 47.4m/19.3h
epoch 42/1000, train: loss=0.0354, val: psnr=29.2610, 1.1m 48.5m/19.3h
epoch 43/1000, train: loss=0.0353, val: psnr=28.8911, 1.2m 49.7m/19.3h
epoch 44/1000, train: loss=0.0354, val: psnr=29.4214, 1.2m 50.8m/19.3h
epoch 45/1000, train: loss=0.0358, val: psnr=29.1859, 1.2m 52.0m/19.3h
epoch 46/1000, train: loss=0.0351, val: psnr=29.8523, 1.2m 53.2m/19.3h
epoch 47/1000, train: loss=0.0348, val: psnr=29.1305, 1.2m 54.3m/19.3h
epoch 48/1000, train: loss=0.0349, val: psnr=29.6571, 1.2m 55.5m/19.3h
epoch 49/1000, train: loss=0.0352, val: psnr=29.8220, 1.2m 56.6m/19.3h
epoch 50/1000, train: loss=0.0351, val: psnr=30.0924, 1.2m 57.8m/19.3h
epoch 51/1000, train: loss=0.0346, val: psnr=29.7629, 1.2m 59.0m/19.3h
epoch 52/1000, train: loss=0.0347, val: psnr=29.8082, 1.2m 1.0h/19.3h
epoch 53/1000, train: loss=0.0348, val: psnr=30.0169, 1.2m 1.0h/19.3h
epoch 54/1000, train: loss=0.0345, val: psnr=29.8913, 1.2m 1.0h/19.3h
epoch 55/1000, train: loss=0.0345, val: psnr=29.8213, 1.2m 1.1h/19.3h
