train dataset: size=3740
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/100, train: loss=0.0727, val: psnr=31.1796, 2.6m 2.6m/4.4h
epoch 2/100, train: loss=0.0419, val: psnr=33.0259, 2.6m 5.2m/4.4h
epoch 3/100, train: loss=0.0381, val: psnr=32.5824, 2.5m 7.8m/4.3h
epoch 4/100, train: loss=0.0364, val: psnr=32.7450, 2.6m 10.3m/4.3h
epoch 5/100, train: loss=0.0355, val: psnr=34.1651, 2.6m 12.9m/4.3h
epoch 6/100, train: loss=0.0341, val: psnr=33.1966, 2.6m 15.5m/4.3h
epoch 7/100, train: loss=0.0337, val: psnr=32.7777, 2.6m 18.0m/4.3h
epoch 8/100, train: loss=0.0333, val: psnr=33.1505, 2.6m 20.6m/4.3h
epoch 9/100, train: loss=0.0328, val: psnr=32.4628, 2.6m 23.2m/4.3h
epoch 10/100, train: loss=0.0325, val: psnr=31.8775, 2.5m 25.7m/4.3h
epoch 11/100, train: loss=0.0326, val: psnr=31.7795, 2.6m 28.3m/4.3h
epoch 12/100, train: loss=0.0318, val: psnr=30.7654, 2.5m 30.8m/4.3h
epoch 13/100, train: loss=0.0318, val: psnr=30.3225, 2.5m 33.4m/4.3h
epoch 14/100, train: loss=0.0310, val: psnr=31.0500, 2.5m 35.9m/4.3h
epoch 15/100, train: loss=0.0311, val: psnr=30.5311, 2.5m 38.4m/4.3h
epoch 16/100, train: loss=0.0309, val: psnr=30.9220, 2.6m 41.0m/4.3h
epoch 17/100, train: loss=0.0308, val: psnr=30.3817, 2.6m 43.6m/4.3h
epoch 18/100, train: loss=0.0306, val: psnr=30.2979, 2.6m 46.1m/4.3h
epoch 19/100, train: loss=0.0303, val: psnr=31.4237, 2.6m 48.7m/4.3h
epoch 20/100, train: loss=0.0303, val: psnr=29.8774, 2.6m 51.3m/4.3h
epoch 21/100, train: loss=0.0302, val: psnr=30.4170, 2.6m 53.9m/4.3h
epoch 22/100, train: loss=0.0298, val: psnr=30.5230, 2.6m 56.4m/4.3h
epoch 23/100, train: loss=0.0302, val: psnr=31.3079, 2.6m 59.0m/4.3h
epoch 24/100, train: loss=0.0301, val: psnr=30.7013, 2.6m 1.0h/4.3h
