train dataset: size=3740
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/1000, train: loss=0.0716, val: psnr=31.8241, 1.1m 1.1m/18.8h
epoch 2/1000, train: loss=0.0428, val: psnr=33.3995, 54.3s 2.0m/17.0h
epoch 3/1000, train: loss=0.0386, val: psnr=34.4679, 53.1s 2.9m/16.2h
epoch 4/1000, train: loss=0.0372, val: psnr=34.2591, 53.1s 3.8m/15.8h
epoch 5/1000, train: loss=0.0357, val: psnr=33.8998, 52.9s 4.7m/15.6h
epoch 6/1000, train: loss=0.0348, val: psnr=33.9401, 53.3s 5.6m/15.5h
epoch 7/1000, train: loss=0.0339, val: psnr=33.5306, 52.9s 6.5m/15.4h
epoch 8/1000, train: loss=0.0334, val: psnr=32.4388, 53.2s 7.3m/15.3h
epoch 9/1000, train: loss=0.0330, val: psnr=32.6315, 53.2s 8.2m/15.2h
epoch 10/1000, train: loss=0.0327, val: psnr=31.7053, 53.0s 9.1m/15.2h
epoch 11/1000, train: loss=0.0322, val: psnr=31.5129, 52.9s 10.0m/15.1h
epoch 12/1000, train: loss=0.0320, val: psnr=31.2567, 52.9s 10.9m/15.1h
epoch 13/1000, train: loss=0.0320, val: psnr=30.3874, 53.1s 11.8m/15.1h
epoch 14/1000, train: loss=0.0315, val: psnr=30.7530, 53.1s 12.6m/15.1h
epoch 15/1000, train: loss=0.0313, val: psnr=31.0641, 53.1s 13.5m/15.0h
epoch 16/1000, train: loss=0.0313, val: psnr=30.7181, 52.7s 14.4m/15.0h
epoch 17/1000, train: loss=0.0311, val: psnr=30.6395, 53.2s 15.3m/15.0h
epoch 18/1000, train: loss=0.0309, val: psnr=30.8587, 52.9s 16.2m/15.0h
epoch 19/1000, train: loss=0.0306, val: psnr=30.2101, 53.3s 17.1m/15.0h
epoch 20/1000, train: loss=0.0308, val: psnr=30.5462, 52.9s 17.9m/15.0h
epoch 21/1000, train: loss=0.0307, val: psnr=30.9823, 53.1s 18.8m/14.9h
epoch 22/1000, train: loss=0.0301, val: psnr=30.5816, 53.1s 19.7m/14.9h
epoch 23/1000, train: loss=0.0303, val: psnr=30.9211, 53.2s 20.6m/14.9h
epoch 24/1000, train: loss=0.0301, val: psnr=30.6761, 53.1s 21.5m/14.9h
epoch 25/1000, train: loss=0.0300, val: psnr=30.2287, 53.1s 22.4m/14.9h
epoch 26/1000, train: loss=0.0297, val: psnr=30.8112, 52.9s 23.3m/14.9h
epoch 27/1000, train: loss=0.0297, val: psnr=30.8016, 53.1s 24.1m/14.9h
epoch 28/1000, train: loss=0.0297, val: psnr=30.8537, 52.9s 25.0m/14.9h
epoch 29/1000, train: loss=0.0298, val: psnr=31.1908, 53.2s 25.9m/14.9h
epoch 30/1000, train: loss=0.0296, val: psnr=31.1710, 53.1s 26.8m/14.9h
epoch 31/1000, train: loss=0.0298, val: psnr=31.2962, 52.8s 27.7m/14.9h
epoch 32/1000, train: loss=0.0296, val: psnr=30.8622, 53.1s 28.6m/14.9h
epoch 33/1000, train: loss=0.0293, val: psnr=31.4490, 53.0s 29.4m/14.9h
epoch 34/1000, train: loss=0.0291, val: psnr=31.1626, 52.9s 30.3m/14.9h
epoch 35/1000, train: loss=0.0293, val: psnr=31.9847, 53.1s 31.2m/14.9h
