train dataset: size=3740
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/100, train: loss=0.0557, val: psnr=33.6706, 2.6m 2.6m/4.3h
epoch 2/100, train: loss=0.0310, val: psnr=36.8198, 2.6m 5.1m/4.3h
epoch 3/100, train: loss=0.0280, val: psnr=38.0812, 2.6m 7.7m/4.3h
epoch 4/100, train: loss=0.0263, val: psnr=38.4975, 2.6m 10.3m/4.3h
epoch 5/100, train: loss=0.0245, val: psnr=38.5952, 2.6m 12.9m/4.3h
epoch 6/100, train: loss=0.0244, val: psnr=38.6969, 2.6m 15.5m/4.3h
epoch 7/100, train: loss=0.0244, val: psnr=36.8440, 2.6m 18.0m/4.3h
epoch 8/100, train: loss=0.0231, val: psnr=38.5593, 2.6m 20.6m/4.3h
epoch 9/100, train: loss=0.0235, val: psnr=38.8470, 2.6m 23.2m/4.3h
epoch 10/100, train: loss=0.0241, val: psnr=36.9836, 2.6m 25.7m/4.3h
epoch 11/100, train: loss=0.0241, val: psnr=39.1632, 2.6m 28.3m/4.3h
epoch 12/100, train: loss=0.0235, val: psnr=38.6124, 2.6m 30.9m/4.3h
epoch 13/100, train: loss=0.0231, val: psnr=39.1899, 2.6m 33.4m/4.3h
epoch 14/100, train: loss=0.0238, val: psnr=39.0362, 2.6m 36.0m/4.3h
epoch 15/100, train: loss=0.0230, val: psnr=39.2719, 2.6m 38.6m/4.3h
epoch 16/100, train: loss=0.0230, val: psnr=39.2235, 2.6m 41.2m/4.3h
epoch 17/100, train: loss=0.0233, val: psnr=37.0176, 2.6m 43.8m/4.3h
epoch 18/100, train: loss=0.0229, val: psnr=39.1910, 2.5m 46.3m/4.3h
epoch 19/100, train: loss=0.0230, val: psnr=39.0287, 2.6m 48.9m/4.3h
epoch 20/100, train: loss=0.0226, val: psnr=39.5296, 2.6m 51.4m/4.3h
epoch 21/100, train: loss=0.0223, val: psnr=39.3907, 2.5m 54.0m/4.3h
epoch 22/100, train: loss=0.0222, val: psnr=39.1289, 2.6m 56.5m/4.3h
epoch 23/100, train: loss=0.0224, val: psnr=39.5374, 2.6m 59.1m/4.3h
epoch 24/100, train: loss=0.0224, val: psnr=39.3432, 2.6m 1.0h/4.3h
epoch 25/100, train: loss=0.0223, val: psnr=39.2497, 2.6m 1.1h/4.3h
epoch 26/100, train: loss=0.0224, val: psnr=39.5055, 2.6m 1.1h/4.3h
epoch 27/100, train: loss=0.0223, val: psnr=39.5387, 2.5m 1.2h/4.3h
epoch 28/100, train: loss=0.0222, val: psnr=39.4158, 2.5m 1.2h/4.3h
epoch 29/100, train: loss=0.0224, val: psnr=39.3139, 2.5m 1.2h/4.3h
epoch 30/100, train: loss=0.0223, val: psnr=39.5700, 2.5m 1.3h/4.3h
epoch 31/100, train: loss=0.0222, val: psnr=39.5122, 2.5m 1.3h/4.3h
epoch 32/100, train: loss=0.0224, val: psnr=39.0272, 2.6m 1.4h/4.3h
epoch 33/100, train: loss=0.0220, val: psnr=39.6065, 2.5m 1.4h/4.3h
epoch 34/100, train: loss=0.0222, val: psnr=39.3706, 2.5m 1.5h/4.3h
epoch 35/100, train: loss=0.0223, val: psnr=39.1653, 2.5m 1.5h/4.3h
epoch 36/100, train: loss=0.0220, val: psnr=39.5297, 2.5m 1.5h/4.3h
epoch 37/100, train: loss=0.0221, val: psnr=39.4780, 2.5m 1.6h/4.3h
epoch 38/100, train: loss=0.0221, val: psnr=39.6617, 2.5m 1.6h/4.3h
epoch 39/100, train: loss=0.0218, val: psnr=39.6582, 2.5m 1.7h/4.3h
epoch 40/100, train: loss=0.0221, val: psnr=39.5984, 2.6m 1.7h/4.3h
epoch 41/100, train: loss=0.0219, val: psnr=39.5504, 2.5m 1.7h/4.3h
epoch 42/100, train: loss=0.0215, val: psnr=39.5110, 2.6m 1.8h/4.3h
epoch 43/100, train: loss=0.0219, val: psnr=39.5552, 2.5m 1.8h/4.3h
epoch 44/100, train: loss=0.0215, val: psnr=39.6064, 2.5m 1.9h/4.3h
epoch 45/100, train: loss=0.0218, val: psnr=39.7108, 2.5m 1.9h/4.3h
epoch 46/100, train: loss=0.0219, val: psnr=39.5792, 2.5m 2.0h/4.3h
epoch 47/100, train: loss=0.0218, val: psnr=39.7257, 2.6m 2.0h/4.3h
epoch 48/100, train: loss=0.0216, val: psnr=39.6379, 2.5m 2.0h/4.3h
epoch 49/100, train: loss=0.0216, val: psnr=39.6494, 2.5m 2.1h/4.3h
epoch 50/100, train: loss=0.0218, val: psnr=39.6513, 2.5m 2.1h/4.3h
epoch 51/100, train: loss=0.0214, val: psnr=39.7810, 2.5m 2.2h/4.3h
epoch 52/100, train: loss=0.0218, val: psnr=39.6249, 2.5m 2.2h/4.3h
epoch 53/100, train: loss=0.0217, val: psnr=39.7092, 2.5m 2.3h/4.3h
epoch 54/100, train: loss=0.0218, val: psnr=39.7302, 2.5m 2.3h/4.3h
