train dataset: size=3740
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/1000, train: loss=0.0554, val: psnr=35.1128, 1.0m 1.0m/17.0h
epoch 2/1000, train: loss=0.0318, val: psnr=37.1316, 55.8s 1.9m/16.2h
epoch 3/1000, train: loss=0.0273, val: psnr=37.6070, 55.1s 2.9m/15.9h
epoch 4/1000, train: loss=0.0247, val: psnr=36.7351, 54.1s 3.8m/15.7h
epoch 5/1000, train: loss=0.0245, val: psnr=38.2662, 54.5s 4.7m/15.6h
epoch 6/1000, train: loss=0.0239, val: psnr=38.5015, 54.2s 5.6m/15.5h
epoch 7/1000, train: loss=0.0244, val: psnr=38.7000, 53.7s 6.5m/15.4h
epoch 8/1000, train: loss=0.0239, val: psnr=38.9795, 54.3s 7.4m/15.4h
epoch 9/1000, train: loss=0.0232, val: psnr=38.8223, 54.0s 8.3m/15.3h
epoch 10/1000, train: loss=0.0229, val: psnr=38.9101, 54.4s 9.2m/15.3h
epoch 11/1000, train: loss=0.0234, val: psnr=39.0729, 54.5s 10.1m/15.3h
epoch 12/1000, train: loss=0.0229, val: psnr=38.7963, 54.5s 11.0m/15.3h
epoch 13/1000, train: loss=0.0235, val: psnr=38.7832, 54.4s 11.9m/15.3h
epoch 14/1000, train: loss=0.0238, val: psnr=37.6374, 54.2s 12.8m/15.3h
epoch 15/1000, train: loss=0.0234, val: psnr=39.2803, 54.0s 13.7m/15.2h
epoch 16/1000, train: loss=0.0229, val: psnr=39.0590, 54.6s 14.6m/15.2h
epoch 17/1000, train: loss=0.0225, val: psnr=39.1532, 54.4s 15.5m/15.2h
epoch 18/1000, train: loss=0.0227, val: psnr=37.7016, 54.3s 16.4m/15.2h
epoch 19/1000, train: loss=0.0229, val: psnr=39.5846, 54.7s 17.3m/15.2h
epoch 20/1000, train: loss=0.0227, val: psnr=39.2400, 54.3s 18.3m/15.2h
epoch 21/1000, train: loss=0.0224, val: psnr=39.6245, 54.7s 19.2m/15.2h
epoch 22/1000, train: loss=0.0228, val: psnr=38.7313, 54.6s 20.1m/15.2h
epoch 23/1000, train: loss=0.0224, val: psnr=39.5776, 54.7s 21.0m/15.2h
epoch 24/1000, train: loss=0.0221, val: psnr=39.5977, 54.5s 21.9m/15.2h
epoch 25/1000, train: loss=0.0224, val: psnr=39.3608, 54.8s 22.8m/15.2h
epoch 26/1000, train: loss=0.0224, val: psnr=39.3654, 54.7s 23.7m/15.2h
epoch 27/1000, train: loss=0.0220, val: psnr=39.5145, 54.5s 24.6m/15.2h
epoch 28/1000, train: loss=0.0222, val: psnr=38.7365, 54.7s 25.5m/15.2h
epoch 29/1000, train: loss=0.0222, val: psnr=39.5574, 54.6s 26.4m/15.2h
epoch 30/1000, train: loss=0.0221, val: psnr=39.0348, 54.2s 27.4m/15.2h
epoch 31/1000, train: loss=0.0222, val: psnr=39.6027, 54.6s 28.3m/15.2h
epoch 32/1000, train: loss=0.0216, val: psnr=39.7085, 54.6s 29.2m/15.2h
epoch 33/1000, train: loss=0.0219, val: psnr=39.4307, 54.6s 30.1m/15.2h
epoch 34/1000, train: loss=0.0219, val: psnr=39.5625, 54.6s 31.0m/15.2h
epoch 35/1000, train: loss=0.0221, val: psnr=39.5229, 54.6s 31.9m/15.2h
epoch 36/1000, train: loss=0.0218, val: psnr=39.5760, 54.4s 32.8m/15.2h
epoch 37/1000, train: loss=0.0214, val: psnr=39.4599, 54.6s 33.7m/15.2h
epoch 38/1000, train: loss=0.0221, val: psnr=39.2293, 54.6s 34.6m/15.2h
epoch 39/1000, train: loss=0.0218, val: psnr=39.6046, 54.2s 35.5m/15.2h
epoch 40/1000, train: loss=0.0218, val: psnr=39.5897, 54.6s 36.4m/15.2h
epoch 41/1000, train: loss=0.0218, val: psnr=39.7703, 54.7s 37.4m/15.2h
epoch 42/1000, train: loss=0.0218, val: psnr=39.7909, 54.9s 38.3m/15.2h
epoch 43/1000, train: loss=0.0217, val: psnr=39.7748, 54.6s 39.2m/15.2h
epoch 44/1000, train: loss=0.0215, val: psnr=39.7483, 54.8s 40.1m/15.2h
epoch 45/1000, train: loss=0.0218, val: psnr=39.7044, 54.7s 41.0m/15.2h
epoch 46/1000, train: loss=0.0219, val: psnr=39.5838, 54.2s 41.9m/15.2h
epoch 47/1000, train: loss=0.0216, val: psnr=39.6254, 54.6s 42.8m/15.2h
epoch 48/1000, train: loss=0.0216, val: psnr=39.6303, 54.6s 43.7m/15.2h
epoch 49/1000, train: loss=0.0218, val: psnr=38.9473, 54.3s 44.6m/15.2h
epoch 50/1000, train: loss=0.0215, val: psnr=39.4961, 54.4s 45.5m/15.2h
epoch 51/1000, train: loss=0.0218, val: psnr=39.6116, 54.6s 46.4m/15.2h
epoch 52/1000, train: loss=0.0217, val: psnr=39.5909, 54.6s 47.4m/15.2h
epoch 53/1000, train: loss=0.0216, val: psnr=39.7065, 54.1s 48.3m/15.2h
epoch 54/1000, train: loss=0.0215, val: psnr=39.6870, 54.6s 49.2m/15.2h
epoch 55/1000, train: loss=0.0214, val: psnr=39.7856, 54.5s 50.1m/15.2h
epoch 56/1000, train: loss=0.0213, val: psnr=39.6734, 54.1s 51.0m/15.2h
epoch 57/1000, train: loss=0.0218, val: psnr=39.6162, 54.6s 51.9m/15.2h
epoch 58/1000, train: loss=0.0212, val: psnr=39.8171, 54.8s 52.8m/15.2h
epoch 59/1000, train: loss=0.0215, val: psnr=39.7103, 54.5s 53.7m/15.2h
epoch 60/1000, train: loss=0.0217, val: psnr=39.6150, 54.4s 54.6m/15.2h
epoch 61/1000, train: loss=0.0214, val: psnr=39.6086, 54.6s 55.5m/15.2h
epoch 62/1000, train: loss=0.0214, val: psnr=39.7941, 54.5s 56.4m/15.2h
epoch 63/1000, train: loss=0.0216, val: psnr=39.7035, 54.6s 57.3m/15.2h
epoch 64/1000, train: loss=0.0212, val: psnr=39.6836, 54.8s 58.3m/15.2h
epoch 65/1000, train: loss=0.0214, val: psnr=39.7949, 54.5s 59.2m/15.2h
epoch 66/1000, train: loss=0.0216, val: psnr=39.7839, 54.1s 1.0h/15.2h
epoch 67/1000, train: loss=0.0214, val: psnr=39.8550, 54.6s 1.0h/15.2h
epoch 68/1000, train: loss=0.0214, val: psnr=39.7571, 54.8s 1.0h/15.2h
epoch 69/1000, train: loss=0.0215, val: psnr=39.4881, 54.5s 1.0h/15.2h
epoch 70/1000, train: loss=0.0214, val: psnr=39.7702, 54.7s 1.1h/15.2h
epoch 71/1000, train: loss=0.0212, val: psnr=39.9187, 54.6s 1.1h/15.2h
epoch 72/1000, train: loss=0.0212, val: psnr=39.5477, 54.7s 1.1h/15.2h
epoch 73/1000, train: loss=0.0212, val: psnr=39.8826, 54.6s 1.1h/15.2h
epoch 74/1000, train: loss=0.0210, val: psnr=39.8122, 54.6s 1.1h/15.2h
epoch 75/1000, train: loss=0.0212, val: psnr=39.6746, 54.0s 1.1h/15.2h
epoch 76/1000, train: loss=0.0216, val: psnr=39.5563, 54.6s 1.2h/15.2h
epoch 77/1000, train: loss=0.0212, val: psnr=39.8369, 54.5s 1.2h/15.2h
epoch 78/1000, train: loss=0.0213, val: psnr=39.5419, 54.6s 1.2h/15.2h
epoch 79/1000, train: loss=0.0212, val: psnr=39.4603, 54.6s 1.2h/15.2h
epoch 80/1000, train: loss=0.0214, val: psnr=39.8322, 54.8s 1.2h/15.2h
epoch 81/1000, train: loss=0.0213, val: psnr=39.8434, 54.6s 1.2h/15.2h
epoch 82/1000, train: loss=0.0213, val: psnr=39.7411, 54.7s 1.2h/15.2h
epoch 83/1000, train: loss=0.0214, val: psnr=39.6191, 54.7s 1.3h/15.2h
epoch 84/1000, train: loss=0.0214, val: psnr=39.7200, 53.6s 1.3h/15.2h
epoch 85/1000, train: loss=0.0212, val: psnr=39.4115, 53.8s 1.3h/15.2h
epoch 86/1000, train: loss=0.0214, val: psnr=39.9463, 54.1s 1.3h/15.2h
epoch 87/1000, train: loss=0.0213, val: psnr=39.6629, 54.3s 1.3h/15.2h
epoch 88/1000, train: loss=0.0213, val: psnr=39.9048, 54.4s 1.3h/15.2h
epoch 89/1000, train: loss=0.0214, val: psnr=39.7478, 54.3s 1.3h/15.2h
epoch 90/1000, train: loss=0.0214, val: psnr=39.7396, 53.9s 1.4h/15.2h
epoch 91/1000, train: loss=0.0212, val: psnr=39.7884, 54.0s 1.4h/15.2h
epoch 92/1000, train: loss=0.0213, val: psnr=39.6950, 54.2s 1.4h/15.2h
epoch 93/1000, train: loss=0.0212, val: psnr=39.8796, 54.4s 1.4h/15.2h
epoch 94/1000, train: loss=0.0210, val: psnr=39.9910, 53.9s 1.4h/15.2h
epoch 95/1000, train: loss=0.0212, val: psnr=39.7967, 54.2s 1.4h/15.2h
epoch 96/1000, train: loss=0.0213, val: psnr=39.8885, 54.4s 1.5h/15.1h
epoch 97/1000, train: loss=0.0216, val: psnr=39.7003, 54.4s 1.5h/15.1h
epoch 98/1000, train: loss=0.0214, val: psnr=39.8548, 54.3s 1.5h/15.1h
epoch 99/1000, train: loss=0.0214, val: psnr=39.4052, 54.3s 1.5h/15.1h
epoch 100/1000, train: loss=0.0212, val: psnr=39.6785, 54.6s 1.5h/15.1h
epoch 101/1000, train: loss=0.0214, val: psnr=39.5708, 54.4s 1.5h/15.1h
epoch 102/1000, train: loss=0.0214, val: psnr=39.7111, 54.3s 1.5h/15.1h
epoch 103/1000, train: loss=0.0214, val: psnr=39.9072, 54.2s 1.6h/15.1h
epoch 104/1000, train: loss=0.0213, val: psnr=39.7339, 54.2s 1.6h/15.1h
epoch 105/1000, train: loss=0.0211, val: psnr=39.8727, 54.4s 1.6h/15.1h
epoch 106/1000, train: loss=0.0212, val: psnr=39.6813, 54.7s 1.6h/15.1h
epoch 107/1000, train: loss=0.0209, val: psnr=39.9000, 54.1s 1.6h/15.1h
epoch 108/1000, train: loss=0.0211, val: psnr=39.8009, 54.8s 1.6h/15.1h
epoch 109/1000, train: loss=0.0212, val: psnr=39.9687, 54.4s 1.7h/15.1h
epoch 110/1000, train: loss=0.0213, val: psnr=39.7672, 54.0s 1.7h/15.1h
epoch 111/1000, train: loss=0.0212, val: psnr=39.8364, 54.6s 1.7h/15.1h
epoch 112/1000, train: loss=0.0212, val: psnr=39.7744, 54.6s 1.7h/15.1h
epoch 113/1000, train: loss=0.0209, val: psnr=40.0278, 54.1s 1.7h/15.1h
epoch 114/1000, train: loss=0.0211, val: psnr=39.8969, 54.6s 1.7h/15.1h
epoch 115/1000, train: loss=0.0215, val: psnr=39.8486, 54.2s 1.7h/15.1h
epoch 116/1000, train: loss=0.0212, val: psnr=39.6888, 54.4s 1.8h/15.1h
epoch 117/1000, train: loss=0.0210, val: psnr=39.8861, 54.6s 1.8h/15.1h
epoch 118/1000, train: loss=0.0212, val: psnr=39.9408, 54.3s 1.8h/15.1h
epoch 119/1000, train: loss=0.0210, val: psnr=39.9413, 54.6s 1.8h/15.1h
epoch 120/1000, train: loss=0.0210, val: psnr=39.8693, 54.8s 1.8h/15.1h
epoch 121/1000, train: loss=0.0210, val: psnr=39.5587, 54.4s 1.8h/15.1h
epoch 122/1000, train: loss=0.0215, val: psnr=39.9734, 54.8s 1.8h/15.1h
epoch 123/1000, train: loss=0.0212, val: psnr=39.7409, 54.7s 1.9h/15.1h
epoch 124/1000, train: loss=0.0209, val: psnr=39.3848, 54.4s 1.9h/15.1h
epoch 125/1000, train: loss=0.0214, val: psnr=39.8052, 54.6s 1.9h/15.1h
epoch 126/1000, train: loss=0.0213, val: psnr=39.4183, 54.7s 1.9h/15.1h
epoch 127/1000, train: loss=0.0214, val: psnr=39.8703, 54.4s 1.9h/15.1h
epoch 128/1000, train: loss=0.0213, val: psnr=40.0050, 54.7s 1.9h/15.1h
epoch 129/1000, train: loss=0.0212, val: psnr=39.9899, 54.9s 2.0h/15.1h
epoch 130/1000, train: loss=0.0211, val: psnr=39.7790, 54.1s 2.0h/15.1h
epoch 131/1000, train: loss=0.0209, val: psnr=39.9040, 54.8s 2.0h/15.1h
epoch 132/1000, train: loss=0.0214, val: psnr=39.8835, 54.8s 2.0h/15.1h
epoch 133/1000, train: loss=0.0209, val: psnr=39.8741, 54.6s 2.0h/15.1h
epoch 134/1000, train: loss=0.0211, val: psnr=39.9444, 54.4s 2.0h/15.1h
epoch 135/1000, train: loss=0.0210, val: psnr=39.9680, 54.8s 2.0h/15.1h
epoch 136/1000, train: loss=0.0208, val: psnr=39.8798, 54.6s 2.1h/15.1h
epoch 137/1000, train: loss=0.0212, val: psnr=39.7916, 54.6s 2.1h/15.1h
epoch 138/1000, train: loss=0.0213, val: psnr=40.0744, 54.7s 2.1h/15.1h
epoch 139/1000, train: loss=0.0212, val: psnr=39.2968, 54.5s 2.1h/15.1h
epoch 140/1000, train: loss=0.0211, val: psnr=39.7775, 54.8s 2.1h/15.1h
epoch 141/1000, train: loss=0.0210, val: psnr=39.8855, 55.0s 2.1h/15.1h
epoch 142/1000, train: loss=0.0212, val: psnr=39.7165, 54.2s 2.2h/15.1h
epoch 143/1000, train: loss=0.0210, val: psnr=39.7925, 54.6s 2.2h/15.1h
epoch 144/1000, train: loss=0.0212, val: psnr=39.8748, 54.8s 2.2h/15.1h
epoch 145/1000, train: loss=0.0213, val: psnr=39.8116, 54.6s 2.2h/15.1h
epoch 146/1000, train: loss=0.0209, val: psnr=39.9457, 54.4s 2.2h/15.1h
epoch 147/1000, train: loss=0.0211, val: psnr=39.9543, 54.8s 2.2h/15.1h
epoch 148/1000, train: loss=0.0212, val: psnr=39.6181, 54.8s 2.2h/15.1h
epoch 149/1000, train: loss=0.0211, val: psnr=39.9100, 54.8s 2.3h/15.1h
epoch 150/1000, train: loss=0.0212, val: psnr=39.9331, 54.5s 2.3h/15.1h
epoch 151/1000, train: loss=0.0210, val: psnr=39.6500, 54.4s 2.3h/15.1h
epoch 152/1000, train: loss=0.0213, val: psnr=39.8469, 54.4s 2.3h/15.1h
epoch 153/1000, train: loss=0.0210, val: psnr=39.9032, 54.8s 2.3h/15.1h
epoch 154/1000, train: loss=0.0213, val: psnr=39.6037, 54.6s 2.3h/15.1h
epoch 155/1000, train: loss=0.0210, val: psnr=39.7417, 54.4s 2.3h/15.1h
epoch 156/1000, train: loss=0.0214, val: psnr=39.9678, 54.4s 2.4h/15.1h
epoch 157/1000, train: loss=0.0211, val: psnr=39.6965, 54.4s 2.4h/15.1h
epoch 158/1000, train: loss=0.0212, val: psnr=40.0158, 54.8s 2.4h/15.1h
epoch 159/1000, train: loss=0.0212, val: psnr=39.8727, 54.8s 2.4h/15.1h
epoch 160/1000, train: loss=0.0209, val: psnr=39.9066, 54.5s 2.4h/15.1h
epoch 161/1000, train: loss=0.0212, val: psnr=39.8747, 54.3s 2.4h/15.1h
epoch 162/1000, train: loss=0.0211, val: psnr=39.5879, 54.9s 2.5h/15.1h
epoch 163/1000, train: loss=0.0210, val: psnr=39.9495, 54.4s 2.5h/15.1h
epoch 164/1000, train: loss=0.0210, val: psnr=39.9375, 54.6s 2.5h/15.1h
epoch 165/1000, train: loss=0.0211, val: psnr=39.5833, 54.7s 2.5h/15.1h
epoch 166/1000, train: loss=0.0213, val: psnr=39.8124, 54.6s 2.5h/15.1h
epoch 167/1000, train: loss=0.0211, val: psnr=39.8290, 54.2s 2.5h/15.1h
epoch 168/1000, train: loss=0.0208, val: psnr=39.9322, 54.8s 2.5h/15.1h
epoch 169/1000, train: loss=0.0211, val: psnr=39.9189, 54.5s 2.6h/15.1h
epoch 170/1000, train: loss=0.0209, val: psnr=40.0408, 54.1s 2.6h/15.1h
epoch 171/1000, train: loss=0.0211, val: psnr=39.7969, 54.8s 2.6h/15.1h
epoch 172/1000, train: loss=0.0208, val: psnr=39.8601, 54.1s 2.6h/15.1h
epoch 173/1000, train: loss=0.0210, val: psnr=39.8591, 54.0s 2.6h/15.1h
epoch 174/1000, train: loss=0.0210, val: psnr=40.0213, 53.8s 2.6h/15.1h
epoch 175/1000, train: loss=0.0208, val: psnr=39.9322, 54.0s 2.7h/15.1h
epoch 176/1000, train: loss=0.0211, val: psnr=39.7267, 54.2s 2.7h/15.1h
epoch 177/1000, train: loss=0.0211, val: psnr=39.9433, 54.1s 2.7h/15.1h
epoch 178/1000, train: loss=0.0211, val: psnr=39.7969, 53.9s 2.7h/15.1h
epoch 179/1000, train: loss=0.0210, val: psnr=39.7766, 54.1s 2.7h/15.1h
epoch 180/1000, train: loss=0.0210, val: psnr=39.9008, 54.4s 2.7h/15.1h
epoch 181/1000, train: loss=0.0210, val: psnr=39.6386, 53.5s 2.7h/15.1h
epoch 182/1000, train: loss=0.0211, val: psnr=40.0552, 53.9s 2.8h/15.1h
epoch 183/1000, train: loss=0.0208, val: psnr=40.1280, 54.3s 2.8h/15.1h
epoch 184/1000, train: loss=0.0208, val: psnr=39.6220, 54.2s 2.8h/15.1h
epoch 185/1000, train: loss=0.0211, val: psnr=39.2382, 54.0s 2.8h/15.1h
epoch 186/1000, train: loss=0.0212, val: psnr=39.8001, 54.0s 2.8h/15.1h
epoch 187/1000, train: loss=0.0209, val: psnr=39.5676, 54.0s 2.8h/15.1h
epoch 188/1000, train: loss=0.0212, val: psnr=39.9843, 54.2s 2.8h/15.1h
epoch 189/1000, train: loss=0.0213, val: psnr=39.7635, 54.3s 2.9h/15.1h
epoch 190/1000, train: loss=0.0210, val: psnr=39.8100, 54.3s 2.9h/15.1h
epoch 191/1000, train: loss=0.0211, val: psnr=39.7805, 53.6s 2.9h/15.1h
epoch 192/1000, train: loss=0.0208, val: psnr=39.9850, 54.3s 2.9h/15.1h
epoch 193/1000, train: loss=0.0211, val: psnr=39.7635, 54.1s 2.9h/15.1h
epoch 194/1000, train: loss=0.0213, val: psnr=39.9276, 54.3s 2.9h/15.1h
epoch 195/1000, train: loss=0.0210, val: psnr=39.8051, 54.3s 3.0h/15.1h
epoch 196/1000, train: loss=0.0211, val: psnr=39.9103, 54.2s 3.0h/15.1h
epoch 197/1000, train: loss=0.0211, val: psnr=39.6745, 54.2s 3.0h/15.1h
epoch 198/1000, train: loss=0.0211, val: psnr=39.7413, 54.0s 3.0h/15.1h
epoch 199/1000, train: loss=0.0210, val: psnr=39.7217, 54.2s 3.0h/15.1h
epoch 200/1000, train: loss=0.0211, val: psnr=40.1634, 54.3s 3.0h/15.1h
epoch 201/1000, train: loss=0.0206, val: psnr=40.0026, 53.7s 3.0h/15.1h
epoch 202/1000, train: loss=0.0208, val: psnr=39.9736, 54.0s 3.1h/15.1h
epoch 203/1000, train: loss=0.0211, val: psnr=39.8672, 53.7s 3.1h/15.1h
epoch 204/1000, train: loss=0.0207, val: psnr=40.0612, 54.5s 3.1h/15.1h
epoch 205/1000, train: loss=0.0211, val: psnr=39.9812, 54.1s 3.1h/15.1h
epoch 206/1000, train: loss=0.0210, val: psnr=40.0995, 54.2s 3.1h/15.1h
epoch 207/1000, train: loss=0.0208, val: psnr=39.8630, 54.0s 3.1h/15.1h
epoch 208/1000, train: loss=0.0209, val: psnr=40.0142, 54.0s 3.1h/15.1h
epoch 209/1000, train: loss=0.0208, val: psnr=40.0434, 54.0s 3.2h/15.1h
epoch 210/1000, train: loss=0.0209, val: psnr=40.0524, 54.2s 3.2h/15.1h
epoch 211/1000, train: loss=0.0207, val: psnr=40.1051, 54.0s 3.2h/15.1h
epoch 212/1000, train: loss=0.0209, val: psnr=39.9036, 54.0s 3.2h/15.1h
epoch 213/1000, train: loss=0.0208, val: psnr=40.0463, 53.8s 3.2h/15.1h
epoch 214/1000, train: loss=0.0209, val: psnr=39.8755, 54.0s 3.2h/15.1h
