train dataset: size=3740
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/100, train: loss=0.0746, val: psnr=29.4792, 6.0m 6.0m/10.0h
epoch 2/100, train: loss=0.0424, val: psnr=31.8901, 4.3m 10.3m/8.6h
epoch 3/100, train: loss=0.0384, val: psnr=32.7563, 1.6m 11.9m/6.6h
epoch 4/100, train: loss=0.0361, val: psnr=32.9573, 1.7m 13.6m/5.7h
epoch 5/100, train: loss=0.0354, val: psnr=33.0298, 1.7m 15.3m/5.1h
epoch 6/100, train: loss=0.0344, val: psnr=33.2177, 1.7m 16.9m/4.7h
epoch 7/100, train: loss=0.0338, val: psnr=33.2933, 1.7m 18.6m/4.4h
epoch 8/100, train: loss=0.0331, val: psnr=33.1582, 1.7m 20.3m/4.2h
epoch 9/100, train: loss=0.0325, val: psnr=32.5293, 1.7m 22.0m/4.1h
epoch 10/100, train: loss=0.0319, val: psnr=32.6618, 1.7m 23.6m/3.9h
epoch 11/100, train: loss=0.0319, val: psnr=31.7297, 1.7m 25.3m/3.8h
epoch 12/100, train: loss=0.0316, val: psnr=32.5782, 1.7m 27.0m/3.7h
epoch 13/100, train: loss=0.0316, val: psnr=32.1808, 1.7m 28.6m/3.7h
epoch 14/100, train: loss=0.0315, val: psnr=32.0656, 1.7m 30.3m/3.6h
epoch 15/100, train: loss=0.0315, val: psnr=31.8710, 1.7m 32.0m/3.6h
epoch 16/100, train: loss=0.0308, val: psnr=31.8355, 1.7m 33.7m/3.5h
epoch 17/100, train: loss=0.0308, val: psnr=31.6925, 1.7m 35.3m/3.5h
epoch 18/100, train: loss=0.0307, val: psnr=31.7200, 1.7m 37.0m/3.4h
epoch 19/100, train: loss=0.0308, val: psnr=31.5135, 1.7m 38.7m/3.4h
epoch 20/100, train: loss=0.0304, val: psnr=32.1659, 1.7m 40.4m/3.4h
epoch 21/100, train: loss=0.0301, val: psnr=31.4415, 1.7m 42.0m/3.3h
epoch 22/100, train: loss=0.0300, val: psnr=31.9546, 1.7m 43.7m/3.3h
epoch 23/100, train: loss=0.0302, val: psnr=31.8703, 1.7m 45.4m/3.3h
epoch 24/100, train: loss=0.0301, val: psnr=32.2129, 1.7m 47.0m/3.3h
epoch 25/100, train: loss=0.0299, val: psnr=32.0670, 1.7m 48.7m/3.2h
epoch 26/100, train: loss=0.0297, val: psnr=32.3289, 1.7m 50.4m/3.2h
epoch 27/100, train: loss=0.0299, val: psnr=32.1343, 1.7m 52.1m/3.2h
epoch 28/100, train: loss=0.0298, val: psnr=32.0782, 1.7m 53.7m/3.2h
epoch 29/100, train: loss=0.0294, val: psnr=31.8679, 1.7m 55.4m/3.2h
epoch 30/100, train: loss=0.0292, val: psnr=31.9688, 1.7m 57.1m/3.2h
epoch 31/100, train: loss=0.0293, val: psnr=31.8159, 1.7m 58.8m/3.2h
epoch 32/100, train: loss=0.0296, val: psnr=32.2996, 1.7m 1.0h/3.1h
epoch 33/100, train: loss=0.0295, val: psnr=32.4483, 1.7m 1.0h/3.1h
epoch 34/100, train: loss=0.0292, val: psnr=32.3222, 1.7m 1.1h/3.1h
epoch 35/100, train: loss=0.0295, val: psnr=32.2404, 1.7m 1.1h/3.1h
epoch 36/100, train: loss=0.0293, val: psnr=32.7169, 1.7m 1.1h/3.1h
epoch 37/100, train: loss=0.0292, val: psnr=32.1887, 1.7m 1.1h/3.1h
epoch 38/100, train: loss=0.0291, val: psnr=32.4797, 1.7m 1.2h/3.1h
epoch 39/100, train: loss=0.0293, val: psnr=32.4578, 1.7m 1.2h/3.1h
epoch 40/100, train: loss=0.0291, val: psnr=32.3567, 1.7m 1.2h/3.1h
epoch 41/100, train: loss=0.0295, val: psnr=32.5765, 1.1h 2.3h/5.6h
epoch 42/100, train: loss=0.0291, val: psnr=32.4281, 1.7m 2.3h/5.5h
epoch 43/100, train: loss=0.0289, val: psnr=32.4553, 1.7m 2.3h/5.4h
epoch 44/100, train: loss=0.0288, val: psnr=32.3772, 1.7m 2.4h/5.4h
epoch 45/100, train: loss=0.0287, val: psnr=32.5814, 1.7m 2.4h/5.3h
epoch 46/100, train: loss=0.0288, val: psnr=32.7507, 1.7m 2.4h/5.3h
epoch 47/100, train: loss=0.0286, val: psnr=32.7993, 1.7m 2.5h/5.2h
epoch 48/100, train: loss=0.0287, val: psnr=32.6555, 1.7m 2.5h/5.2h
epoch 49/100, train: loss=0.0284, val: psnr=32.5489, 1.7m 2.5h/5.1h
epoch 50/100, train: loss=0.0290, val: psnr=32.9166, 1.7m 2.5h/5.1h
epoch 51/100, train: loss=0.0286, val: psnr=32.8268, 1.7m 2.6h/5.0h
epoch 52/100, train: loss=0.0285, val: psnr=32.9194, 1.7m 2.6h/5.0h
epoch 53/100, train: loss=0.0288, val: psnr=32.7608, 1.7m 2.6h/4.9h
epoch 54/100, train: loss=0.0285, val: psnr=32.5192, 1.7m 2.7h/4.9h
epoch 55/100, train: loss=0.0287, val: psnr=32.7362, 1.7m 2.7h/4.9h
epoch 56/100, train: loss=0.0283, val: psnr=32.7087, 1.7m 2.7h/4.8h
epoch 57/100, train: loss=0.0287, val: psnr=32.6904, 1.7m 2.7h/4.8h
epoch 58/100, train: loss=0.0282, val: psnr=32.8005, 1.7m 2.8h/4.8h
