train dataset: size=3740
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/100, train: loss=0.0534, val: psnr=35.0063, 3.1m 3.1m/5.1h
epoch 2/100, train: loss=0.0312, val: psnr=36.3789, 2.5m 5.6m/4.7h
epoch 3/100, train: loss=0.0269, val: psnr=38.2166, 2.6m 8.2m/4.5h
epoch 4/100, train: loss=0.0268, val: psnr=38.6992, 2.5m 10.7m/4.4h
epoch 5/100, train: loss=0.0245, val: psnr=38.4373, 2.5m 13.2m/4.4h
epoch 6/100, train: loss=0.0247, val: psnr=38.3318, 2.5m 15.7m/4.4h
epoch 7/100, train: loss=0.0240, val: psnr=39.2998, 2.5m 18.2m/4.3h
epoch 8/100, train: loss=0.0237, val: psnr=38.9045, 2.5m 20.8m/4.3h
epoch 9/100, train: loss=0.0237, val: psnr=39.1037, 2.5m 23.3m/4.3h
epoch 10/100, train: loss=0.0234, val: psnr=39.0563, 2.5m 25.8m/4.3h
epoch 11/100, train: loss=0.0234, val: psnr=39.1031, 2.5m 28.3m/4.3h
epoch 12/100, train: loss=0.0231, val: psnr=39.0881, 2.5m 30.8m/4.3h
epoch 13/100, train: loss=0.0232, val: psnr=39.2684, 2.5m 33.4m/4.3h
epoch 14/100, train: loss=0.0229, val: psnr=38.7436, 2.5m 35.9m/4.3h
epoch 15/100, train: loss=0.0234, val: psnr=39.3332, 2.5m 38.4m/4.3h
epoch 16/100, train: loss=0.0229, val: psnr=39.1055, 2.5m 40.9m/4.3h
epoch 17/100, train: loss=0.0229, val: psnr=39.1920, 2.5m 43.5m/4.3h
epoch 18/100, train: loss=0.0228, val: psnr=38.8187, 2.5m 46.0m/4.3h
epoch 19/100, train: loss=0.0227, val: psnr=39.2593, 2.5m 48.5m/4.3h
epoch 20/100, train: loss=0.0228, val: psnr=39.3089, 2.5m 51.0m/4.3h
epoch 21/100, train: loss=0.0226, val: psnr=39.4822, 2.5m 53.5m/4.2h
epoch 22/100, train: loss=0.0224, val: psnr=39.6028, 2.5m 56.1m/4.2h
epoch 23/100, train: loss=0.0224, val: psnr=39.7096, 2.5m 58.6m/4.2h
epoch 24/100, train: loss=0.0224, val: psnr=39.5739, 2.5m 1.0h/4.2h
epoch 25/100, train: loss=0.0221, val: psnr=39.3713, 2.5m 1.1h/4.2h
epoch 26/100, train: loss=0.0225, val: psnr=39.0559, 2.5m 1.1h/4.2h
epoch 27/100, train: loss=0.0220, val: psnr=39.5180, 2.5m 1.1h/4.2h
epoch 28/100, train: loss=0.0223, val: psnr=39.5483, 2.5m 1.2h/4.2h
epoch 29/100, train: loss=0.0220, val: psnr=39.3555, 2.5m 1.2h/4.2h
epoch 30/100, train: loss=0.0223, val: psnr=39.5634, 2.5m 1.3h/4.2h
epoch 31/100, train: loss=0.0218, val: psnr=39.3163, 2.5m 1.3h/4.2h
epoch 32/100, train: loss=0.0220, val: psnr=39.7932, 2.5m 1.4h/4.2h
epoch 33/100, train: loss=0.0219, val: psnr=39.6580, 2.5m 1.4h/4.2h
epoch 34/100, train: loss=0.0219, val: psnr=39.4508, 2.5m 1.4h/4.2h
