train dataset: size=3740
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/1000, train: loss=0.0615, val: psnr=31.7287, 1.0m 1.0m/16.9h
epoch 2/1000, train: loss=0.0465, val: psnr=31.4371, 56.2s 2.0m/16.3h
epoch 3/1000, train: loss=0.0447, val: psnr=32.2292, 55.3s 2.9m/16.0h
epoch 4/1000, train: loss=0.0429, val: psnr=32.8993, 54.8s 3.8m/15.8h
epoch 5/1000, train: loss=0.0420, val: psnr=32.7310, 54.8s 4.7m/15.7h
epoch 6/1000, train: loss=0.0419, val: psnr=32.6624, 54.9s 5.6m/15.6h
epoch 7/1000, train: loss=0.0415, val: psnr=32.9383, 55.1s 6.5m/15.6h
epoch 8/1000, train: loss=0.0412, val: psnr=33.1717, 54.7s 7.4m/15.5h
epoch 9/1000, train: loss=0.0413, val: psnr=33.2899, 55.2s 8.4m/15.5h
epoch 10/1000, train: loss=0.0407, val: psnr=32.7623, 54.9s 9.3m/15.5h
epoch 11/1000, train: loss=0.0402, val: psnr=33.0457, 55.0s 10.2m/15.4h
epoch 12/1000, train: loss=0.0401, val: psnr=33.2101, 54.8s 11.1m/15.4h
epoch 13/1000, train: loss=0.0406, val: psnr=33.3153, 54.5s 12.0m/15.4h
epoch 14/1000, train: loss=0.0404, val: psnr=33.3836, 54.7s 12.9m/15.4h
epoch 15/1000, train: loss=0.0401, val: psnr=33.0000, 54.7s 13.8m/15.4h
epoch 16/1000, train: loss=0.0399, val: psnr=33.1796, 54.7s 14.8m/15.4h
epoch 17/1000, train: loss=0.0400, val: psnr=33.2894, 54.6s 15.7m/15.4h
epoch 18/1000, train: loss=0.0402, val: psnr=33.1664, 54.8s 16.6m/15.3h
epoch 19/1000, train: loss=0.0398, val: psnr=33.2531, 54.7s 17.5m/15.3h
epoch 20/1000, train: loss=0.0397, val: psnr=33.2367, 54.7s 18.4m/15.3h
epoch 21/1000, train: loss=0.0394, val: psnr=33.4062, 54.9s 19.3m/15.3h
epoch 22/1000, train: loss=0.0396, val: psnr=33.3414, 54.7s 20.2m/15.3h
epoch 23/1000, train: loss=0.0397, val: psnr=33.5913, 54.8s 21.1m/15.3h
